#Scan#	Adduct	CAS_Number	Charge	Compound_Name	Compound_Source	Data_Collector	ExactMass	FileScanUniqueID	INCHI	INCHI_AUX	Instrument	IonMode	Ion_Source	LibMZ	LibraryName	LibraryQualityString	Library_Class	MQScore	MZErrorPPM	MassDiff	NumberHits	Organism	PI	Precursor_MZ	Pubmed_ID	RT_Query	SharedPeaks	Smiles	SpecCharge	SpecMZ	SpectrumFile	SpectrumID	TIC_Query	UpdateWorkflowName	tags
100	M+H	108781	1	Melamine	Isolated	NIST	0.0	spectra/specs_ms.pklbin100	InChI=1S/C3H6N6/c4-1-7-2(5)9-3(6)8-1/h(H6,4,5,6,7,8,9)	N/A	HCD	Positive	ESI	127.073	lib-00000.mgf	Bronze	3	0.710232	104.649	0.013298	1	NIST17	NIST	127.073	N/A	550.569	5	C1(=NC(=NC(=N1)N)N)N	1	127.086	spectra/specs_ms.pklbin	CCMSLIB00003477472	66943.9	UPDATE-SINGLE-ANNOTATED-BRONZE	 
101	M+H	108781	1	Melamine	Isolated	NIST	0.0	spectra/specs_ms.pklbin101	InChI=1S/C3H6N6/c4-1-7-2(5)9-3(6)8-1/h(H6,4,5,6,7,8,9)	N/A	HCD	Positive	ESI	127.073	lib-00000.mgf	Bronze	3	0.679994	104.649	0.013298	1	NIST17	NIST	127.073	N/A	519.78	5	C1(=NC(=NC(=N1)N)N)N	1	127.086	spectra/specs_ms.pklbin	CCMSLIB00003477472	21947.7	UPDATE-SINGLE-ANNOTATED-BRONZE	 
103	M+H	108781	1	Melamine	Isolated	NIST	0.0	spectra/specs_ms.pklbin103	InChI=1S/C3H6N6/c4-1-7-2(5)9-3(6)8-1/h(H6,4,5,6,7,8,9)	N/A	HCD	Positive	ESI	127.073	lib-00000.mgf	Bronze	3	0.710056	104.649	0.013298	1	NIST17	NIST	127.073	N/A	541.42	5	C1(=NC(=NC(=N1)N)N)N	1	127.086	spectra/specs_ms.pklbin	CCMSLIB00003477470	1000	UPDATE-SINGLE-ANNOTATED-BRONZE	 
107	M+H-H2O	629414	1	1,8-Octanediol	Isolated	NIST	0.0	spectra/specs_ms.pklbin107	InChI=1S/C8H18O2/c9-7-5-3-1-2-4-6-8-10/h9-10H,1-8H2	N/A	HCD	Positive	ESI	129.127	lib-00000.mgf	Bronze	3	0.688398	3.07238	0.000396729	1	NIST17	NIST	129.127	N/A	222.462	3	C(CCCCO)CCCO	1	129.127	spectra/specs_ms.pklbin	CCMSLIB00003381558	10982.2	UPDATE-SINGLE-ANNOTATED-BRONZE	 
108	M+H-C2H5ON	2490973	1	N-Acetyl-L-glutamine	Isolated	NIST	0.0	spectra/specs_ms.pklbin108	InChI=1S/C7H12N2O4/c1-4(10)9-5(7(12)13)2-3-6(8)11/h5H,2-3H2,1H3,(H2,8,11)(H,9,10)(H,12,13)/t5-/m0/s1	N/A	HCD	Positive	ESI	130.05	lib-00000.mgf	Bronze	3	0.866717	0.821312	0.000106812	1	NIST17	NIST	130.05	N/A	25.1924	4	CC(=O)NC(CCC(=O)N)C(=O)O	1	130.05	spectra/specs_ms.pklbin	CCMSLIB00003385773	7971.91	UPDATE-SINGLE-ANNOTATED-BRONZE	 
110	M+H-NH3	56871	1	L-Lysine	Isolated	NIST	0.0	spectra/specs_ms.pklbin110	InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/t5-/m0/s1	N/A	HCD	Positive	ESI	130.086	lib-00000.mgf	Bronze	3	0.892222	2.34595	0.000305176	1	NIST17	NIST	130.086	N/A	16.1165	4	[H+].C(CCN)CC(C(=O)[O-])N	1	130.086	spectra/specs_ms.pklbin	CCMSLIB00003365110	9974.08	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1118	M+H	20064191	1	L-Propionylcarnitine	Isolated	NIST	0.0	spectra/specs_ms.pklbin1118	InChI=1S/C10H19NO4/c1-5-10(14)15-8(6-9(12)13)7-11(2,3)4/h8H,5-7H2,1-4H3/t8-/m1/s1	N/A	HCD	Positive	ESI	218.139	lib-00000.mgf	Bronze	3	0.967304	1.399	0.000305176	1	NIST17	NIST	218.139	N/A	34.0515	5	CCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	1	218.139	spectra/specs_ms.pklbin	CCMSLIB00003591860	10988	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1127	M+H	599542	1	Pantothenic acid	Isolated	NIST	0.0	spectra/specs_ms.pklbin1127	InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)	N/A	HCD	Positive	ESI	220.118	lib-00000.mgf	Bronze	3	0.87574	0	0	1	NIST17	NIST	220.118	N/A	58.5386	22	CC(C)(CO)C(C(=O)NCCC(=O)O)O	1	220.118	spectra/specs_ms.pklbin	CCMSLIB00003460404	5912.22	UPDATE-SINGLE-ANNOTATED-BRONZE	 
120	M+H	57001	1	Creatine	Isolated	NIST	0.0	spectra/specs_ms.pklbin120	InChI=1S/C4H9N3O2/c1-7(4(5)6)2-3(8)9/h2H2,1H3,(H3,5,6)(H,8,9)	N/A	HCD	Positive	ESI	132.077	lib-00000.mgf	Bronze	3	0.788137	1.50189	0.000198364	1	NIST17	NIST	132.077	N/A	19.6858	4	CN(CC(=O)[O-])C(=N)[NH3+]	1	132.077	spectra/specs_ms.pklbin	CCMSLIB00003469396	14966.5	UPDATE-SINGLE-ANNOTATED-BRONZE	 
122	M+H-C2H3NO	19257046	1	Glycyl-L-norleucine	Isolated	NIST	0.0	spectra/specs_ms.pklbin122	InChI=1S/C8H16N2O3/c1-2-3-4-6(8(12)13)10-7(11)5-9/h6H,2-5,9H2,1H3,(H,10,11)(H,12,13)	N/A	HCD	Positive	ESI	132.102	lib-00000.mgf	Bronze	3	0.918543	0.808554	0.000106812	1	NIST17	NIST	132.102	N/A	27.3862	3	CCCCC(C(=O)[O-])NC(=O)C[NH3+]	1	132.102	spectra/specs_ms.pklbin	CCMSLIB00003723483	11998.6	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1311	M+H	0	1	PyroGlu-Pro	Isolated	NIST	0.0	spectra/specs_ms.pklbin1311	InChI=1S/C10H14N2O4/c13-8-4-3-6(11-8)9(14)12-5-1-2-7(12)10(15)16/h6-7H,1-5H2,(H,11,13)(H,15,16)	N/A	Q-TOF	Positive	ESI	227.103	lib-00000.mgf	Bronze	3	0.820998	2.62037	0.000595093	1	NIST17	NIST	227.103	N/A	55.5494	4	C1CC(N(C1)C(=O)C2CCC(=O)N2)C(=O)O	1	227.102	spectra/specs_ms.pklbin	CCMSLIB00003212990	5977.22	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1360	M+H	35436830	1	DL-Leu-DL-Val	Isolated	NIST	0.0	spectra/specs_ms.pklbin1360	InChI=1S/C11H22N2O3/c1-6(2)5-8(12)10(14)13-9(7(3)4)11(15)16/h6-9H,5,12H2,1-4H3,(H,13,14)(H,15,16)	N/A	HCD	Positive	ESI	231.17	lib-00000.mgf	Bronze	3	0.836487	1.32013	0.000305176	1	NIST17	NIST	231.17	N/A	73.8625	5	CC(C)CC(C(=O)NC(C(C)C)C(=O)O)N	1	231.17	spectra/specs_ms.pklbin	CCMSLIB00003366345	4989.63	UPDATE-SINGLE-ANNOTATED-BRONZE	 
