row ID,row m/z,row retention time,L_C18_Polar_16_MS2_DF_125_01.mzML Peak area,L_C18_Polar_16_MS2_DF_125_02.mzML Peak area,L_C18_Polar_16_MS2_DF_25_02.mzML Peak area,L_C18_Polar_16_MS2_DF_125_03.mzML Peak area,L_C18_Polar_16_MS2_DF_25_01.mzML Peak area,L_C18_Polar_16_MS2_DF_5_01.mzML Peak area,L_C18_Polar_16_MS2_DF_25_03.mzML Peak area,L_C18_Polar_16_MS2_DF_625_01.mzML Peak area,L_C18_Polar_16_MS2_DF_625_02.mzML Peak area,L_C18_Polar_16_MS2_DF_5_02.mzML Peak area,L_C18_Polar_16_MS2_DF_5_03.mzML Peak area,L_C18_Polar_16_MS2_DF_625_03.mzML Peak area,L_C18_Polar_16_MS2_DF_1_01.mzML Peak area,L_C18_Polar_16_MS2_DF_1_02.mzML Peak area,L_C18_Polar_16_MS2_DF_1_03.mzML Peak area,
1,153.1384063720703,12.76891,1.310016351171587E9,6.383001279041661E8,8.319720332493589E8,9.08095342928712E8,9.9191905653693E8,8.416030054923264E8,1.0897486738823776E9,9.404453222285906E8,4.086167195950484E8,8.576110644667838E8,9.654841528894306E8,5.101146241995175E8,5.779200556979513E8,5.680835038532155E8,5.559559558517644E8,
2,124.08675028483073,12.784325555555556,6.324364752176123E8,2.259574712944287E8,3.4653478094445175E8,2.999840009249164E8,5.0943591887278795E8,4.364910378798798E8,4.390045759334787E8,5.110799590768271E8,1.3869672561155772E8,3.741337250646653E8,4.084254100152461E8,1.353602523726266E8,2.9746455510604715E8,3.156973872691429E8,2.811338596159677E8,
3,311.079795328776,5.142252222222222,2.2053018946394312E8,2.2252170523560348E8,2.071267881822444E8,2.2899181211310726E8,2.1641347147970533E8,1.9973533794480526E8,2.1983555426273403E8,2.2998004501442787E8,2.2370060215045434E8,2.1488094420564973E8,2.212922978348345E8,2.2011212605587217E8,2.0768248734853014E8,2.366935445575343E8,2.1578526807240492E8,
4,274.2734120686849,6.099161111111113,1.911689511524762E8,2.0576841466275817E8,2.1070619165992007E8,1.9172394356393018E8,2.055110272942476E8,1.3982435009375873E8,1.858269244631434E8,1.926667382042973E8,2.024189530072493E8,1.9924807632308295E8,1.9212297596118045E8,1.97627335751966E8,1.2540036195157573E8,1.7308819311099395E8,1.0843681569894579E8,
5,158.15382130940756,6.165134444444445,2.6451292029583022E8,2.646071955101162E8,2.928376087234092E8,2.3633830700261816E8,2.6184891832815555E8,1.917513609067143E8,1.9325544929757762E8,2.4807247641168734E8,2.3485284004710612E8,1.8245735894718134E8,1.447752220582704E8,2.0714873014990196E8,1.603048502728826E8,1.6631789694070685E8,1.4509776609906575E8,
6,102.03371912638346,12.971665555555555,4.9839210544887555E8,5.3327614640555704E8,5.897400964475474E8,6.703642512346785E8,6.38593613136957E8,5.75930523488759E8,8.030108082912827E8,4.125580772112829E8,4.803659498173844E8,5.71752453181505E8,7.619535300048372E8,5.39879947187765E8,3.8065543218346924E8,5.678681005722286E8,5.952522501092447E8,
7,111.02006276448567,12.84301333333333,1.6845451122681493E8,9.53385860789643E7,1.2637469551981714E8,2.157935918794226E8,1.8028506702378073E8,1.2062061891067249E8,2.5119934139290804E8,1.4207506824582285E8,1.2297963647404373E8,2.056870584638196E8,2.849123106776386E8,1.4217892629440057E8,9.802705232263374E7,1.3823336994985294E8,1.4530682271652365E8,
8,162.11231740315756,0.3019147777777778,1.2259335834706478E8,1.2317045252568923E8,3.4568204503413403E8,1.0458712372729528E8,2.2365150490700474E8,5.836575744539739E8,2.2530446722123432E8,4.4052720143853664E7,3.37285679204637E7,4.815169756496515E8,6.010219741506997E8,4.151108648319546E7,6.128130473249754E8,5.303495207906591E8,4.22258776785784E8,
9,139.98766632080077,12.840974444444441,9.02917355229376E7,6.110088894260421E7,7.423252379801984E7,1.1362860593772842E8,9.027122091388367E7,6.232825363961973E7,1.3330537583462954E8,7.52570354889763E7,7.232197071517064E7,1.0755390605318679E8,1.2588708228824192E8,8.265929715795486E7,5.674385622771293E7,7.741505485229115E7,7.471005361003013E7,
10,141.95845489501954,0.039775966666666655,2.3051707706254523E7,2.7660441350323636E7,2.6871294688167144E7,2.8249925901933637E7,2.4120533133822553E7,2.4878095757322382E7,2.729201636931816E7,2.0139259013653576E7,2.686630902673279E7,2.652677439658857E7,2.723412270094887E7,3.059457541993285E7,2.3751096531727493E7,2.9424869440736417E7,2.723078054636274E7,
11,167.01260579427083,12.980204444444446,2.794625487708064E8,2.941101920397591E8,2.4258190930795848E8,2.7026836316406566E8,2.6527274106999195E8,2.377756044314447E8,3.0456777351417315E8,1.8913115968668365E8,2.6891113416161484E8,2.3054905173040956E8,3.1348543630004054E8,2.045314752440408E8,2.3732465851402652E8,2.2648278789623657E8,2.925582525726833E8,
12,101.07079849243163,12.784325555555556,1.0422452586048119E8,4.0790678419476695E7,5.5846719309757255E7,5.7094196731419615E7,7.939248913972075E7,6.729063143685573E7,7.660102860725929E7,1.0160257174891178E8,2.989225682886411E7,6.0062322195421904E7,7.207131198514223E7,2.7557721847876962E7,5.087635808492847E7,5.821699982625447E7,5.2131915752101816E7,
13,144.9819539388021,12.812152222222222,6.112569039105901E7,8.071298758864851E7,4.4262759247845255E7,9.60437228903988E7,7.564711930120814E7,1.2469435858782113E8,2.4985271773239195E8,1.4818551670480978E8,3.5676429163625166E7,5.747206307642889E7,1.0944813070644145E8,3.2201728912545048E7,3.572316566579165E7,3.7319666861595586E7,4.500983704328823E7,
14,111.03895517985026,12.997633333333331,1.377481548276859E8,1.8165829535412228E8,1.5493910837149784E8,1.7566188345368406E8,1.9338316240816012E8,1.218951715433437E8,1.946849105801845E8,1.0872020811600173E8,1.9659697186122632E8,1.1891375037490468E8,2.051296632283459E8,1.5559737115108415E8,1.1255866007772608E8,2.086397682553744E8,1.4694903715447086E8,
15,226.95123297934595,12.793122222222223,1.0317785481291153E8,2.0181927389471766E7,4.493939729204398E7,2.162108228161702E7,5.337451681382843E7,4.503694688098408E7,7.246687882529014E7,5.6045950677825406E7,4280440.376500119,4.863318348327E7,7.789015836663619E7,8144775.094062496,3.194673753632597E7,1.5543628048937144E7,2.817204324995321E7,
16,125.98604380289713,12.995396666666666,1.7053870866434124E8,1.6931638301068774E8,1.9431005973277572E8,1.6000810986761886E8,2.0648450341769004E8,1.5084508398551866E8,2.205274472682745E8,1.4961135806750628E8,1.5257662643915707E8,1.9270506389749426E8,1.8773594283666134E8,1.83413602364768E8,2.311781136897265E8,1.5258021357993197E8,2.0198539226520798E8,
17,110.01989466349283,12.91567,1.8788417327224803E8,7.957849786631653E7,1.1972643619538102E8,1.0185274999310777E8,2.0258820751692203E8,1.2655134498931547E8,1.1118115805354542E8,1.4676886578913295E8,7.507030968438102E7,1.1276298673400562E8,1.6892614456538716E8,5.257579297809172E7,1.1014457082136148E8,9.027747003520657E7,1.069796499155248E8,
18,132.10174102783202,0.5079728888888888,6.589198895726166E7,6.457151734538132E7,2.906039607853054E8,4.843400173626145E7,2.6332476067722434E8,1.0403752132718277E9,2.085728023360443E8,2.40945068584944E7,1.5972508729879932E7,1.0421682330554317E9,7.82609827305004E8,2.253171621569336E7,3.029755650410725E9,3.057180138615277E9,2.687349172523504E9,
19,165.1132603963216,12.79346888888889,6.417158560542287E7,2.640979852823362E7,3.501080264540242E7,2.833158294152363E7,5.733376493098304E7,4.925093744693331E7,4.213892584717074E7,5.401394853842682E7,1.1846391653915167E7,4.369885949539539E7,5.694399352934394E7,1.187803604176743E7,3.576181395426562E7,2.5994120598617513E7,3.210756053478857E7,
20,184.9852788289388,12.83633888888889,5.30544425291391E7,2.830664395033731E7,4.101334377193321E7,5.977920831857988E7,5.002268517640837E7,3.7662149931090735E7,7.549216095711967E7,4.409960616688412E7,3.728033413550828E7,6.062282342740672E7,7.33122308449128E7,4.266552343644544E7,3.2958295199729558E7,4.253635279902434E7,3.671562426073923E7,
21,182.98495432535807,0.03993096666666666,1.6106523760215238E7,1.7473715067210477E7,1.6774644772797303E7,1.67371640472116E7,1.4264047639459042E7,1.6414757882932842E7,1.6513162405405296E7,1.3538990900808357E7,1.6768763799347285E7,1.6433479553277139E7,1.8440882599431906E7,1.872015470982606E7,1.5494239160004027E7,1.695687001676368E7,1.6682342316909285E7,
22,242.28387451171875,7.299243333333334,1.003926709237426E8,9.590750619332421E7,7.181708279007035E7,5.51472834318851E7,5.799841323992711E7,6.3257706078230254E7,8.740173371175964E7,9.128384994494234E7,9.364919902967334E7,7.573316476121174E7,8.43050225940009E7,1.0225010451128834E8,4.187434970534322E7,7.339339450846618E7,5.530534788433705E7,
23,246.24234975179036,5.46352888888889,4.486994322205651E7,4.777631040144509E7,4.937604960064707E7,4.4312480949691996E7,4.912635530782068E7,4.8734763173740946E7,4.0757764793767415E7,4.591379033478109E7,4.58557862382481E7,4.798660405702403E7,4.248604833192895E7,4.5657184230188854E7,4.342237846950646E7,4.237425877792431E7,3.0785418369600456E7,
24,333.0620595296224,5.141824444444444,4.165911384882924E7,5.402680962133092E7,5.208661253209621E7,3.988133579616468E7,5.0220724583853334E7,4.6726980934296444E7,3.680816319869351E7,4.054411087871376E7,4.7385922808766946E7,5.507571931890162E7,3.731556146679086E7,5.517688712553658E7,7.322036025923745E7,7.511716400307232E7,4.30899010359709E7,
25,122.54694035847982,13.008652222222224,3.0267046239976354E7,5.2613471212524E7,2.980270682688051E7,1.1221684185541357E8,9.229393850825603E7,3.664754205081013E7,5.9527636113184355E7,1.306895123829735E7,8.025073874623811E7,2.6103347103119172E7,1.269455087934141E8,1.2181190393296131E8,4.547975380407111E7,1.3201565139191899E8,9.563411300937839E7,
26,110.07111155192057,12.794892222222222,5.082958321776742E7,1.5853182573417714E7,2.33504253061268E7,1.7136443319912914E7,4.2281217380559705E7,3.689303418759399E7,2.6519483589736864E7,4.4197009234386675E7,8451422.177787947,2.7537158170943066E7,3.689250893118256E7,8802565.580030479,2.196643808472471E7,1.782048387049748E7,2.131951408626948E7,
27,111.0914899190267,12.780466666666666,3.937466401999954E7,1.7620899740373515E7,2.548323882305696E7,2.160630213669494E7,3.1924635597541787E7,2.915638071644541E7,3.244090215188852E7,3.1603513154580973E7,9407874.938646013,2.813511387909136E7,2.8379249823626205E7,1.0342779086183863E7,2.092255011708403E7,2.2627266867189743E7,1.8577759128841728E7,
28,199.98744455973306,13.05901222222222,1.3969920315892595E8,1.3112918075520132E8,1.4255619449122941E8,1.6275320391561937E8,1.4157397932268292E8,1.4801437275099993E8,1.5434336733947644E8,1.2075368042147842E8,1.6281664423999947E8,1.724729892085324E8,1.8199528472879714E8,1.7186522729934856E8,1.4918524374981582E8,1.576969100470614E8,1.3451491988827407E8,
29,227.17520548502605,1.6201966666666665,4.6658725178715445E7,4.368073237230785E7,1.112413053145544E7,4.1801693378696255E7,1.0944593891523931E7,1.3211007925147086E7,1.0226923934409847E7,266726.7855526975,197658.01503309055,1.2858989772870913E7,1.1940346847606981E7,178063.0842018235,1.4142868591329288E8,1.4303537433450475E8,1.4036805297790283E8,
30,279.0903279622396,3.8882433333333335,2.910570183116075E7,2.7507711967203904E7,1.1817238618573399E8,3.478217384909299E7,1.2710489597178803E8,5.880301104075398E8,1.4924933804138824E8,9250625.762845244,8822249.575020097,5.794862043189274E8,6.317027928171967E8,8521101.392065305,2.526019916828571E9,2.6528160199927597E9,2.5378161045996275E9,
31,166.08610992431642,0.7686937777777777,2.972858669990104E7,2.921932016053193E7,1.368074970010472E8,2.882542774720385E7,1.262602238423324E8,6.250022303034477E8,1.0965529921019536E8,9410865.01651328,7144317.694775944,6.088643104134299E8,4.54802630732443E8,9388229.320251152,3.1350635612415996E9,2.8527258039535546E9,2.487948530882434E9,
32,204.12287445068358,0.36809022222222226,3.02781610738971E7,2.6063969360836018E7,1.3655851234363624E8,2.869710910273967E7,1.3288864840399268E8,3.30566674904476E8,1.1136470319149879E8,6863779.471308648,6797234.833091797,3.606540532553076E8,3.5933251013727146E8,6872722.585431211,8.538976547688228E8,6.964682308841292E8,7.350400004508926E8,
33,217.1044672648112,12.774124444444446,6.2541035412137546E7,2.64582521982725E7,3.386508994536225E7,3.536461577925314E7,4.673876997690931E7,3.999708524795871E7,4.821197929169704E7,5.440160841343425E7,1.4152925552398637E7,3.5783225903384164E7,4.296493764880792E7,2.011680743349436E7,2.948304237831929E7,3.0538976453122467E7,2.830699027395696E7,
34,207.0172846476237,12.84301333333333,2.3867772502098363E7,1.5368044647226192E7,1.8781076317480154E7,3.204922871192162E7,2.396423920041806E7,1.5462460103000345E7,3.599727704978238E7,1.860973190337231E7,1.8678659447708484E7,2.719561773077978E7,3.3149747911492296E7,2.3118041091681827E7,1.2943888529211411E7,2.058177932337825E7,2.052687835068272E7,
35,137.98729349772137,13.046004444444446,4.287815541502402E7,4.3865498413380146E7,4.336272898953487E7,4.779629077321723E7,5.847027554368873E7,3.0951957639094662E7,1.263283048804761E7,4.3776404100308284E7,1.2591870814988373E7,5.3124246028433874E7,3.2235352084261823E7,4.470161008749286E7,2.6463143331790745E7,2.6744266453952122E7,1.5692839043422304E7,
36,150.1276072184245,12.75665888888889,3.6315434671273716E7,2.334874753653781E7,2.7352605927967314E7,3.36087005425051E7,2.885529230009155E7,2.4904441196023647E7,3.7512447904173896E7,2.687579573773357E7,1.6497051367991054E7,2.6717520426926993E7,3.2011456040829144E7,2.0544950751295883E7,1.7927087466692697E7,1.834724002156999E7,1.9623724940722525E7,
37,186.9559819539388,13.022432222222225,9.566860626096311E7,8.788773869255228E7,9.434838955051945E7,1.144288292812989E8,7.968799847795415E7,8.843342462593484E7,1.0997033342575288E8,8.019187008134514E7,8.85685561995995E7,7.194112652942094E7,1.1532515504923162E8,1.054418926059649E8,8.173775087232006E7,8.299141885344577E7,6.832772399888591E7,
38,131.53331807454427,12.84314222222222,1.9749104261448752E7,9076714.73429762,1.3330822620205548E7,2.0100058331628285E7,2.4460756233377844E7,1.7250840877916645E7,2.5832786970806006E7,2.486348722538646E7,1.4287368436640693E7,2.362647431618525E7,2.6532815162059408E7,1.3699892594512071E7,1.2282824226068314E7,1.765810825391021E7,1.5226594207863726E7,
39,173.0782506306966,0.5842393333333334,1.943227938369754E7,1.542494527799415E7,1.6079830815495852E7,1.3007055994062139E7,1.2624293645366846E7,1.3723219110127807E7,6132922.242368559,1.0670742668257572E7,6347676.226949548,1.6271625962581E7,7007728.636777851,9759441.889501344,2.6531528862697955E7,2.6137293203841813E7,1.3252337383876342E7,
40,138.10233306884766,12.78096,2.918095080481778E7,1.116630656713088E7,1.6524198726826228E7,1.4599510253384653E7,2.2725738193893485E7,1.912079811336756E7,2.1002706549672704E7,2.2431654402115386E7,5669515.611310365,1.7682250798268918E7,1.959073580199988E7,6874481.027996766,1.4344553228393942E7,1.4971257770420048E7,1.3563016528159918E7,
41,139.01767069498698,12.972652222222223,3.424961437934807E7,7.208222106216036E7,5.602904361204796E7,7.296736568544398E7,4.877950418454521E7,5.3286403845547535E7,7.227199039361313E7,3.8792085962496795E7,4.712806961517683E7,3.800733625212873E7,7.614149279309699E7,5.111715379754524E7,4.031260311580136E7,5.031865351685619E7,5.2398581243199706E7,
42,140.06797702439974,0.27427166666666664,1.6376246786570322E7,1.5305186572493868E7,2.8492736371936746E7,1.257735097941281E7,1.974592042708839E7,2.094107368740595E7,2.8136211864428304E7,2.2475995009433694E7,8795153.976234818,2.4474572636353564E7,2.761083542661698E7,1.827609008310351E7,1.8473757714431727E8,1.7996151727577338E8,2.0493201725159532E8,
43,116.07046763102214,0.3148991111111112,2.5148944168178327E7,2.145872651920884E7,5.105810774551347E7,2.1908985798540737E7,4.641519825012381E7,9.145297278810401E7,4.298475870300461E7,1.5567923762638632E7,1.1028340098140184E7,6.0970091106005736E7,9.669333187267701E7,1.2071422695565518E7,1.5892203413409802E8,1.1459148252331705E8,1.0421008571265735E8,
44,247.16607687813897,12.79263,1.9778488318382237E7,5383786.293019887,1.0572722262403082E7,8664733.123813171,1.5057504444825964E7,1.2553085219034242E7,1.4211679411808388E7,1.5334540338465571E7,2184327.143805429,9907486.21917305,2.034015293611871E7,3033195.9818418,1.0647492303955052E7,7378751.36859215,7043702.25361095,
45,144.10176493326824,0.32080377777777774,1.950685467156513E7,1.8111583205200024E7,6.4424111518343665E7,1.8092479226695143E7,6.169203112967434E7,1.6116342906160256E8,5.7350811560800225E7,6101421.397400093,4678863.136587016,1.1280360715899885E8,1.355400473358329E8,5812986.7612705715,2.0577421302506104E8,1.7111905739752793E8,1.0593929641508526E8,
46,261.1302134195964,12.77455888888889,3.5485646264464825E7,1.7278548953146596E7,2.1901669371124968E7,2.1720524658794723E7,2.871871719532974E7,2.4461672606333666E7,3.151562154456267E7,3.0049853742936555E7,8624079.519707985,2.4712177648450635E7,2.8225035636333384E7,1.1483863272461133E7,1.860167204958122E7,1.998936738380474E7,1.7208851279342897E7,
