"SUID","Adduct","AllGroups","ATTRIBUTE_ALL_SAMPLES","ATTRIBUTE_Dilution","ATTRIBUTE_FILENAME","charge","cluster index","componentindex","Compound_Name","Compound_Source","Data_Collector","DefaultGroups","G1","G2","G3","G4","G5","G6","GNPSGROUP:0","GNPSGROUP:1","GNPSGROUP:125","GNPSGROUP:25","GNPSGROUP:5","GNPSGROUP:625","GNPSGROUP:BLANKS","GNPSGROUP:L_C18_Polar_16_Blk_no_inj_02","GNPSGROUP:L_C18_Polar_16_Blk_no_inj_04","GNPSGROUP:L_C18_Polar_16_Blk_no_inj_06","GNPSGROUP:L_C18_Polar_16_Blk_no_inj_08","GNPSGROUP:L_C18_Polar_16_MS2_DF_125_01","GNPSGROUP:L_C18_Polar_16_MS2_DF_125_02","GNPSGROUP:L_C18_Polar_16_MS2_DF_125_03","GNPSGROUP:L_C18_Polar_16_MS2_DF_1_01","GNPSGROUP:L_C18_Polar_16_MS2_DF_1_02","GNPSGROUP:L_C18_Polar_16_MS2_DF_1_03","GNPSGROUP:L_C18_Polar_16_MS2_DF_25_01","GNPSGROUP:L_C18_Polar_16_MS2_DF_25_02","GNPSGROUP:L_C18_Polar_16_MS2_DF_25_03","GNPSGROUP:L_C18_Polar_16_MS2_DF_5_01","GNPSGROUP:L_C18_Polar_16_MS2_DF_5_02","GNPSGROUP:L_C18_Polar_16_MS2_DF_5_03","GNPSGROUP:L_C18_Polar_16_MS2_DF_625_01","GNPSGROUP:L_C18_Polar_16_MS2_DF_625_02","GNPSGROUP:L_C18_Polar_16_MS2_DF_625_03","GNPSGROUP:SAMPLES","GNPSLibraryURL","GNPSLinkout_Cluster","GNPSLinkout_Network","INCHI","Instrument","Ion_Source","IonMode","Library_Class","MassDiff","MQScore","MZErrorPPM","name","number of spectra","parent mass","PI","precursor mass","RTConsensus","RTMean","selected","shared name","SharedPeaks","Smiles","SpectrumID","sum(precursor intensity)","UniqueFileSources"
"28166",,"N/A","SAMPLES","1,125,5,625,25","L_C18_Polar_16_MS2_DF_25_03,L_C18_Polar_16_MS2_DF_1_02,L_C18_Polar_16_MS2_DF_25_02,L_C18_Polar_16_MS2_DF_625_03,L_C18_Polar_16_MS2_DF_125_03,L_C18_Polar_16_MS2_DF_1_03,L_C18_Polar_16_MS2_DF_125_02,L_C18_Polar_16_MS2_DF_5_02,L_C18_Polar_16_MS2_DF_5_03,L_C18_Polar_16_MS2_DF_625_02","0","392","-1",,,,"N/A","0.0","0.0","0.0","0.0","0.0","0.0","0.0","78622.00848437441","3983541.920959315","435141.1187971303","212033.83613460587","40033.544950520336","0.0","0.0","0.0","0.0","0.0","0.0","187865.05002975758","448236.45837406005","0.0","105618.88307812653","130247.14237499672","0.0","811054.1487351126","494369.2076562782","0.0","4708084.63538653","7242541.127491415","0.0","41535.959726559486","78564.67512500152","949874.4858651892",,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=b9c75ead4ad3431e82eb0b051d0c3d03&view=view_all_clusters_withID#{""main.cluster index_lowerinput"":""392"",""main.cluster index_upperinput"":""392""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=b9c75ead4ad3431e82eb0b051d0c3d03&view=view_all_clusters_withID#{""main.cluster index_lowerinput"":""392"",""main.cluster index_upperinput"":""392""}",,,,,,,,,"392","10","774.598",,"774.598","9.2916","0.0","false","392",,,,"1.4248117287977839E7","N/A"
"28167",,"N/A","SAMPLES","1,125,5,625,25","L_C18_Polar_16_MS2_DF_25_03,L_C18_Polar_16_MS2_DF_625_01,L_C18_Polar_16_MS2_DF_1_02,L_C18_Polar_16_MS2_DF_25_02,L_C18_Polar_16_MS2_DF_625_03,L_C18_Polar_16_MS2_DF_5_01,L_C18_Polar_16_MS2_DF_125_01,L_C18_Polar_16_MS2_DF_125_03,L_C18_Polar_16_MS2_DF_25_01,L_C18_Polar_16_MS2_DF_1_03,L_C18_Polar_16_MS2_DF_125_02,L_C18_Polar_16_MS2_DF_5_02,L_C18_Polar_16_MS2_DF_5_03,L_C18_Polar_16_MS2_DF_625_02,L_C18_Polar_16_MS2_DF_1_01","0","276","31",,,,"N/A","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.1053669319294974E8","2.522403739939641E7","3054037.194615577","344147.7152432398","63121.185620117874","0.0","0.0","0.0","0.0","0.0","346961.37595424365","244221.41863206617","441260.35114340973","1.7552159152645868E8","2.384441226352232E8","2.1764436541716737E8","2863398.880982144","2623543.1265275334","3675169.576337054","2.1733797641817704E7","2.4162547658814393E7","2.9775766897557132E7","38845.754951171504","66038.82347461036","84478.97843457176","4.784440733756502E7",,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=b9c75ead4ad3431e82eb0b051d0c3d03&view=view_all_clusters_withID#{""main.cluster index_lowerinput"":""276"",""main.cluster index_upperinput"":""276""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=31&task=b9c75ead4ad3431e82eb0b051d0c3d03",,,,,,,,,"276","15","494.3236",,"494.3236","7.1186","0.0","false","276",,,,"7.176661100634753E8","N/A"
"28168",,"N/A","SAMPLES","1,125,5,625,25","L_C18_Polar_16_MS2_DF_25_03,L_C18_Polar_16_MS2_DF_625_01,L_C18_Polar_16_MS2_DF_1_02,L_C18_Polar_16_MS2_DF_25_02,L_C18_Polar_16_MS2_DF_625_03,L_C18_Polar_16_MS2_DF_5_01,L_C18_Polar_16_MS2_DF_125_01,L_C18_Polar_16_MS2_DF_125_03,L_C18_Polar_16_MS2_DF_25_01,L_C18_Polar_16_MS2_DF_1_03,L_C18_Polar_16_MS2_DF_125_02,L_C18_Polar_16_MS2_DF_5_02,L_C18_Polar_16_MS2_DF_5_03,L_C18_Polar_16_MS2_DF_625_02,L_C18_Polar_16_MS2_DF_1_01","0","753","35",,,,"N/A","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9936467.42119124","1509401.3223861607","59282.32326432508","7397.925263671601","17326.57412109414","0.0","0.0","0.0","0.0","0.0","3918.9703124995685","6404.434628905753","11870.370849609482","7802157.314611255","8829843.990547292","1.3177400958415173E7","35347.926750003804","13540.14664843738","128958.89639453407","1622168.6576402485","1166632.3182161395","1739402.991302094","7744.853058593712","28641.009101562733","15593.860203125974","2305975.113245298",,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=b9c75ead4ad3431e82eb0b051d0c3d03&view=view_all_clusters_withID#{""main.cluster index_lowerinput"":""753"",""main.cluster index_upperinput"":""753""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=35&task=b9c75ead4ad3431e82eb0b051d0c3d03",,,,,,,,,"753","15","965.6016",,"965.6016","6.2278","0.0","false","753",,,,"3.458962669867948E7","N/A"
"28169","M+H","N/A","SAMPLES","1,125,5,625,25","L_C18_Polar_16_MS2_DF_25_03,L_C18_Polar_16_MS2_DF_625_01,L_C18_Polar_16_MS2_DF_1_02,L_C18_Polar_16_MS2_DF_25_02,L_C18_Polar_16_MS2_DF_625_03,L_C18_Polar_16_MS2_DF_5_01,L_C18_Polar_16_MS2_DF_125_03,L_C18_Polar_16_MS2_DF_1_03,L_C18_Polar_16_MS2_DF_125_02,L_C18_Polar_16_MS2_DF_5_02,L_C18_Polar_16_MS2_DF_5_03,L_C18_Polar_16_MS2_DF_625_02,L_C18_Polar_16_MS2_DF_1_01","0","358","-1","1-Hexadecyl-2-(8Z,11Z,14Z-eicosatrienoyl)-sn-glycero-3-phosphocholine","Isolated","NIST","N/A","0.0","0.0","0.0","0.0","0.0","0.0","0.0","788569.6136489994","5319467.668752346","563019.9169222508","2887647.8032425754","123654.935875009","0.0","0.0","0.0","0.0","0.0","0.0","2384103.009561026","6278840.4001667","30047.55304687477","711249.5811188584","1624411.7067812649","0.0","234573.77357701125","1454485.9771897409","4442.897757811723","5973562.150093752","9980397.958405476","8616.579624999895","205772.23356251942","156575.9944375077","1936471.9876882362","http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00003503288","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=b9c75ead4ad3431e82eb0b051d0c3d03&view=view_all_clusters_withID#{""main.cluster index_lowerinput"":""358"",""main.cluster index_upperinput"":""358""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=b9c75ead4ad3431e82eb0b051d0c3d03&view=view_all_clusters_withID#{""main.cluster index_lowerinput"":""358"",""main.cluster index_upperinput"":""358""}","InChI=1S/C44H84NO7P/c1-6-8-10-12-14-16-18-20-22-23-24-25-27-29-31-33-35-37-44(46)52-43(42-51-53(47,48)50-40-38-45(3,4)5)41-49-39-36-34-32-30-28-26-21-19-17-15-13-11-9-7-2/h14,16,20,22,24-25,43H,6-13,15,17-19,21,23,26-42H2,1-5H3/b16-14-,22-20-,25-24-","HCD","ESI","Positive","3","0.000732422","0.977304","0.950449","358","13","770.6065","NIST","770.6065","9.5746","0.0","false","358","6","CCCCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC=CCC=CCC=CCCCCC","CCMSLIB00003503288","2.9047079815323547E7","N/A"
"28170","M+H","N/A","SAMPLES","1,125,5,625,25","L_C18_Polar_16_MS2_DF_25_03,L_C18_Polar_16_MS2_DF_625_01,L_C18_Polar_16_MS2_DF_1_02,L_C18_Polar_16_MS2_DF_25_02,L_C18_Polar_16_MS2_DF_625_03,L_C18_Polar_16_MS2_DF_5_01,L_C18_Polar_16_MS2_DF_125_01,L_C18_Polar_16_MS2_DF_125_03,L_C18_Polar_16_MS2_DF_25_01,L_C18_Polar_16_MS2_DF_1_03,L_C18_Polar_16_MS2_DF_125_02,L_C18_Polar_16_MS2_DF_5_02,L_C18_Polar_16_MS2_DF_5_03,L_C18_Polar_16_MS2_DF_625_02,L_C18_Polar_16_MS2_DF_1_01","0","907","-1","1-Oleoyl-2-palmitoyl-sn-glycero-3-phosphocholine","Isolated","NIST","N/A","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6108478.7671666695","2256544.6887649335","4670278.901583318","8152203.360698501","1.4478482299145985E7","0.0","0.0","0.0","0.0","0.0","18402.184345705078","3214087.9657501206","2.1224119931999676E7","43255.60781249635","1153591.0051249478","1.7128589688562565E7","17351.663693356495","1719411.5677501094","1.2274073473306486E7","15696.957166015793","2378665.3183698175","4375271.790758967","30327.554937014807","6872787.116500042","3.65323322260009E7","7133197.603471881","http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00003268413","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=b9c75ead4ad3431e82eb0b051d0c3d03&view=view_all_clusters_withID#{""main.cluster index_lowerinput"":""907"",""main.cluster index_upperinput"":""907""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=b9c75ead4ad3431e82eb0b051d0c3d03&view=view_all_clusters_withID#{""main.cluster index_lowerinput"":""907"",""main.cluster index_upperinput"":""907""}","InChI=1S/C42H82NO8P/c1-6-8-10-12-14-16-18-20-21-23-24-26-28-30-32-34-41(44)48-38-40(39-50-52(46,47)49-37-36-43(3,4)5)51-42(45)35-33-31-29-27-25-22-19-17-15-13-11-9-7-2/h20-21,40H,6-19,22-39H2,1-5H3/b21-20-/t40-/m1/s1","HCD","ESI","Positive","3","0.0022583","0.980884","2.96916","907","15","760.5828","NIST","760.5828","10.0065","0.0","false","907","7","CCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C","CCMSLIB00003268413","1.069979640520782E8","N/A"
"28171",,"N/A","SAMPLES","1,125,5,625,25","L_C18_Polar_16_MS2_DF_25_03,L_C18_Polar_16_MS2_DF_1_02,L_C18_Polar_16_MS2_DF_25_02,L_C18_Polar_16_MS2_DF_625_03,L_C18_Polar_16_MS2_DF_125_03,L_C18_Polar_16_MS2_DF_1_03,L_C18_Polar_16_MS2_DF_125_02,L_C18_Polar_16_MS2_DF_5_02,L_C18_Polar_16_MS2_DF_5_03,L_C18_Polar_16_MS2_DF_625_02,L_C18_Polar_16_MS2_DF_1_01","0","602","14",,,,"N/A","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1778064.0447469065","220312.82724349175","681188.489039428","3541684.0062983497","2.968451616512711E7","0.0","0.0","0.0","0.0","0.0","0.0","5109939.529668183","5515112.4892268665","496305.0096562493","2294043.7018965664","2543843.422687904","0.0","790793.1124061951","1252772.3547120886","0.0","255166.9981211049","405771.4836093703","0.0","4.042115687706472E7","4.863239161831661E7","7181153.106491057",,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=b9c75ead4ad3431e82eb0b051d0c3d03&view=view_all_clusters_withID#{""main.cluster index_lowerinput"":""602"",""main.cluster index_upperinput"":""602""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=14&task=b9c75ead4ad3431e82eb0b051d0c3d03",,,,,,,,,"602","11","832.5815",,"832.5815","12.7973","0.0","false","602",,,,"1.0771729659736586E8","N/A"
"28172",,"N/A","SAMPLES","1,125,5,625,25","L_C18_Polar_16_MS2_DF_25_03,L_C18_Polar_16_MS2_DF_1_02,L_C18_Polar_16_MS2_DF_25_02,L_C18_Polar_16_MS2_DF_625_03,L_C18_Polar_16_MS2_DF_5_01,L_C18_Polar_16_MS2_DF_125_01,L_C18_Polar_16_MS2_DF_125_03,L_C18_Polar_16_MS2_DF_25_01,L_C18_Polar_16_MS2_DF_1_03,L_C18_Polar_16_MS2_DF_125_02,L_C18_Polar_16_MS2_DF_5_02,L_C18_Polar_16_MS2_DF_5_03,L_C18_Polar_16_MS2_DF_625_02,L_C18_Polar_16_MS2_DF_1_01","0","724","3",,,,"N/A","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0937178464826329E7","2152038.9139510808","84957.71004296835","14342.812540364357","873.3953352864067","0.0","0.0","0.0","0.0","0.0","15667.361919921255","5478.216704101539","21882.858997070278","7946700.85914583","1.100595292015663E7","1.3858881615176527E7","119631.10257812365","50824.47153515568","84417.55601562571","1859828.469607331","2091654.8924574046","2504633.3797885063","0.0","1070.2472812499038","1549.9387246093163","2637878.259339206",,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=b9c75ead4ad3431e82eb0b051d0c3d03&view=view_all_clusters_withID#{""main.cluster index_lowerinput"":""724"",""main.cluster index_upperinput"":""724""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=b9c75ead4ad3431e82eb0b051d0c3d03",,,,,,,,,"724","14","267.042",,"267.042","2.1311","0.0","false","724",,,,"3.956817389008808E7","N/A"
"28173","M+H","N/A","SAMPLES","1,125,5,625,25","L_C18_Polar_16_MS2_DF_25_03,L_C18_Polar_16_MS2_DF_625_01,L_C18_Polar_16_MS2_DF_1_02,L_C18_Polar_16_MS2_DF_25_02,L_C18_Polar_16_MS2_DF_625_03,L_C18_Polar_16_MS2_DF_5_01,L_C18_Polar_16_MS2_DF_125_01,L_C18_Polar_16_MS2_DF_125_03,L_C18_Polar_16_MS2_DF_25_01,L_C18_Polar_16_MS2_DF_1_03,L_C18_Polar_16_MS2_DF_125_02,L_C18_Polar_16_MS2_DF_5_02,L_C18_Polar_16_MS2_DF_5_03,L_C18_Polar_16_MS2_DF_625_02,L_C18_Polar_16_MS2_DF_1_01","0","284","64","L-Kynurenine","Isolated","NIST","N/A","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.560345220885364E7","8866449.50065855","2167568.424875416","357186.2717448351","116859.803234147","0.0","0.0","0.0","0.0","0.0","335824.8666272694","330732.77814170416","405001.17046553164","5.812134027810398E7","5.635022499606759E7","5.233879135238935E7","2264424.529587444","2271911.165649815","1966369.579388989","6048723.411036676","1.1215695155377625E7","9334929.935561346","146214.92167495118","113934.15577250966","90430.33225498014","1.3422303241873316E7","http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00003453122","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=b9c75ead4ad3431e82eb0b051d0c3d03&view=view_all_clusters_withID#{""main.cluster index_lowerinput"":""284"",""main.cluster index_upperinput"":""284""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=64&task=b9c75ead4ad3431e82eb0b051d0c3d03","InChI=1S/C10H12N2O3/c11-7-4-2-1-3-6(7)9(13)5-8(12)10(14)15/h1-4,8H,5,11-12H2,(H,14,15)","HCD","ESI","Positive","3","0.000305176","0.991852","1.45953","284","15","209.0918","NIST","209.0918","0.7645","0.0","false","284","8","C1=CC=C(C(=C1)C(=O)CC(C(=O)[O-])[NH3+])N","CCMSLIB00003453122","2.0133454862809974E8","N/A"
"28174",,"N/A","SAMPLES","1,125,25","L_C18_Polar_16_MS2_DF_25_03,L_C18_Polar_16_MS2_DF_1_02,L_C18_Polar_16_MS2_DF_25_02,L_C18_Polar_16_MS2_DF_5_01,L_C18_Polar_16_MS2_DF_25_01,L_C18_Polar_16_MS2_DF_1_03,L_C18_Polar_16_MS2_DF_5_02,L_C18_Polar_16_MS2_DF_5_03,L_C18_Polar_16_MS2_DF_1_01","0","670","-1",,,,"N/A","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5154299.149959454","1827571.5984575646","14702.886721842435","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4911141.903015344","5019830.72535545","5531924.8215075685","26036.970109765556","9002.547300781249","9069.142754980501","1703976.4328514317","1957418.04514271","1821320.317378552","0.0","0.0","0.0","1399314.7270277722",,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=b9c75ead4ad3431e82eb0b051d0c3d03&view=view_all_clusters_withID#{""main.cluster index_lowerinput"":""670"",""main.cluster index_upperinput"":""670""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=b9c75ead4ad3431e82eb0b051d0c3d03&view=view_all_clusters_withID#{""main.cluster index_lowerinput"":""670"",""main.cluster index_upperinput"":""670""}",,,,,,,,,"670","9","312.1101",,"312.1101","0.4885","0.0","false","670",,,,"2.098972090541658E7","N/A"
"28175","M+H-C7H11NO","N/A","SAMPLES","1,125,5,625,25","L_C18_Polar_16_MS2_DF_25_03,L_C18_Polar_16_MS2_DF_625_01,L_C18_Polar_16_MS2_DF_1_02,L_C18_Polar_16_MS2_DF_25_02,L_C18_Polar_16_MS2_DF_625_03,L_C18_Polar_16_MS2_DF_5_01,L_C18_Polar_16_MS2_DF_125_01,L_C18_Polar_16_MS2_DF_125_03,L_C18_Polar_16_MS2_DF_25_01,L_C18_Polar_16_MS2_DF_1_03,L_C18_Polar_16_MS2_DF_125_02,L_C18_Polar_16_MS2_DF_5_02,L_C18_Polar_16_MS2_DF_5_03,L_C18_Polar_16_MS2_DF_625_02,L_C18_Polar_16_MS2_DF_1_01","0","231","39","Dodecanoic acid, 12-[[(cyclohexylamino)carbonyl]amino]-","Isolated","NIST","N/A","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2345432.2985843704","849397.6673191937","449710.6676568713","613296.9867023196","205844.4421378345","0.0","0.0","0.0","0.0","0.0","599390.2185399926","613363.1260697558","627137.6154972103","2251507.579113448","2297953.5280745747","2486835.788565089","475932.99560602556","464077.1340085589","409121.87335602945","846690.5563331427","837086.831476378","864415.6141480603","204262.38997433087","217983.35976115975","195287.57667801285","892736.4124801179","http://gnps.ucsd.edu/ProteoSAFe/gnpslibraryspectrum.jsp?SpectrumID=CCMSLIB00003594812","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=b9c75ead4ad3431e82eb0b051d0c3d03&view=view_all_clusters_withID#{""main.cluster index_lowerinput"":""231"",""main.cluster index_upperinput"":""231""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=39&task=b9c75ead4ad3431e82eb0b051d0c3d03","InChI=1S/C19H36N2O3/c22-18(23)15-11-6-4-2-1-3-5-7-12-16-20-19(24)21-17-13-9-8-10-14-17/h17H,1-16H2,(H,22,23)(H2,20,21,24)","HCD","ESI","Positive","3","0.000106812","0.823772","0.49405","231","15","216.1957","NIST","216.1957","5.4629","0.0","false","231","10","C1CCC(CC1)NC(=O)NCCCCCCCCCCCC(=O)O","CCMSLIB00003594812","1.339104618720177E7","N/A"
