CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
737	887	1	0.9558	-44.026
241	283	2	0.8078	-116.084
236	283	2	0.7823	-232.167
234	283	2	0.8673	-174.126
234	236	2	0.8585	58.042
234	241	2	0.8636	-58.042
10	921	3	0.8263	-13.032
21	921	3	0.7399	27.995
47	921	3	0.7657	17.003
75	921	3	0.7245	50.027
21	752	3	0.7032	-84.057
10	21	3	0.8709	-41.027
13	47	3	0.7713	-27.011
10	75	3	0.7598	-63.058
13	921	3	0.7109	-10.008
10	724	3	0.7774	-125.083
21	75	3	0.7457	-22.032
450	516	4	0.9434	-28.031
32	761	4	0.9477	-168.188
300	816	4	0.9343	-70.079
525	551	4	0.9348	-28.031
300	772	4	0.9257	-14.016
299	518	4	0.9744	-84.094
740	810	4	0.9428	-42.047
743	810	4	0.956	30.047
288	299	4	0.9527	-30.047
32	211	4	0.9907	-14.016
329	761	4	0.9616	-126.141
299	761	4	0.9748	-56.063
32	299	4	0.9494	-112.125
32	516	4	0.9531	-56.062
299	329	4	0.9644	70.078
329	450	4	0.9583	14.016
516	816	4	0.938	-98.110
742	880	4	0.9494	-12.000
740	742	4	0.9254	28.032
525	742	4	0.9314	14.016
299	525	4	0.9453	-26.016
300	516	4	0.9461	28.031
32	300	4	0.9322	-84.093
299	516	4	0.9566	56.062
743	816	4	0.9481	70.078
743	761	4	0.98	56.062
288	761	4	0.9547	-86.110
810	880	4	0.9347	58.078
587	880	4	0.9186	28.031
32	329	4	0.9681	-42.047
288	518	4	0.9599	-114.141
329	816	4	0.9506	-112.126
32	288	4	0.9524	-82.078
329	518	4	0.9592	-154.172
299	743	4	0.9653	-112.125
211	299	4	0.9616	-98.109
500	810	4	0.966	28.031
761	816	4	0.9517	14.015
500	551	4	0.9312	56.062
551	816	4	0.9355	12.000
761	810	4	0.9551	-26.016
658	740	4	0.9193	68.062
518	761	4	0.9846	28.031
500	743	4	0.952	-2.016
551	810	4	0.9513	-28.031
211	516	4	0.9659	-42.047
32	450	4	0.9577	-28.031
211	761	4	0.9581	-154.172
500	587	4	0.9167	58.078
211	300	4	0.9462	-70.077
742	810	4	0.9431	-70.079
743	946	4	0.9473	-84.094
300	329	4	0.9543	42.046
288	516	4	0.9612	26.015
299	816	4	0.955	-42.048
288	743	4	0.9504	-142.172
516	761	4	0.9504	-112.125
288	450	4	0.9404	54.046
329	516	4	0.9731	-14.016
516	518	4	0.9483	-140.157
500	740	4	0.9293	70.078
587	658	4	0.9286	-56.062
288	742	4	0.9438	-42.047
211	288	4	0.9607	-68.062
551	742	4	0.9332	42.047
211	518	4	0.9536	-182.203
518	816	4	0.9564	42.047
211	743	4	0.9435	-210.234
500	658	4	0.9603	2.016
500	518	4	0.9487	26.015
211	329	4	0.9794	-28.031
211	450	4	0.9653	-14.016
518	810	4	0.9679	2.016
288	329	4	0.9746	40.031
551	740	4	0.9291	14.016
518	743	4	0.9868	-28.031
1032	1054	5	0.7802	174.065
884	1032	5	0.7884	-347.191
684	884	5	0.7181	260.159
1054	1074	5	0.7296	-87.031
684	1032	5	0.7866	-87.032
939	1054	5	0.7426	-173.126
684	939	5	0.7551	260.159
815	884	5	0.707	17.027
939	1074	5	0.758	-260.157
815	939	5	0.746	17.027
937	1054	5	0.7868	-397.242
937	1074	5	0.7102	-484.273
884	937	5	0.7374	224.116
1032	1074	5	0.7247	87.034
684	1054	5	0.7468	87.033
937	1047	5	0.7187	267.158
884	939	5	0.8374	0.000
884	1054	5	0.7427	-173.126
684	1074	5	0.706	0.002
684	937	5	0.8108	484.275
937	939	5	0.7324	-224.116
939	1032	5	0.7657	-347.191
982	1017	6	0.9422	-292.109
812	1017	6	0.9356	-289.090
793	828	6	0.8834	2.015
813	1015	6	0.9339	-290.087
812	1015	6	0.9409	-289.092
806	1005	6	0.924	-0.036
977	1017	6	0.9291	-291.096
813	1026	6	0.9343	-291.094
982	1021	6	0.9047	-0.021
1015	1017	6	0.9459	0.002
1005	1017	6	0.8981	-291.063
1017	1026	6	0.9567	-1.009
813	1021	6	0.9438	2.004
806	1026	6	0.9497	-292.108
812	977	6	0.9551	2.006
813	982	6	0.926	2.024
977	1005	6	0.9471	-0.032
977	1015	6	0.9409	-291.098
806	977	6	0.9553	-0.004
1021	1026	6	0.8993	-293.098
1016	1017	6	0.9405	2.008
1017	1021	6	0.8966	292.089
813	1017	6	0.9228	-290.085
813	1016	6	0.8935	-292.093
813	977	6	0.9664	1.011
812	1005	6	0.9288	1.974
982	1005	6	0.9019	-1.046
806	813	6	0.9504	-1.015
812	1021	6	0.9214	2.999
982	1026	6	0.9449	-293.118
812	1026	6	0.949	-290.099
1005	1026	6	0.9042	-292.072
782	828	6	0.8365	0.013
977	1016	6	0.9015	-293.104
806	1016	6	0.9265	-293.107
806	1015	6	0.9425	-291.102
1015	1021	6	0.916	292.091
813	1005	6	0.9446	0.979
977	982	6	0.9346	1.014
806	812	6	0.9545	-2.010
1005	1021	6	0.9514	1.025
812	982	6	0.9519	3.020
793	1016	6	0.887	-292.101
1016	1021	6	0.878	294.097
806	1021	6	0.9278	0.989
977	1026	6	0.9337	-292.104
982	1015	6	0.9314	-292.111
1015	1016	6	0.9246	-2.006
982	1016	6	0.9316	-294.117
977	1021	6	0.9467	0.993
806	1017	6	0.9477	-291.100
1005	1015	6	0.9193	-291.065
812	813	6	0.9632	0.995
812	1016	6	0.9146	-291.098
806	982	6	0.959	1.010
1015	1026	6	0.9518	-1.007
1016	1026	6	0.939	0.999
228	267	8	0.7948	-74.019
64	176	8	0.8251	-224.056
227	267	8	0.7933	387.121
76	1024	8	0.7977	-1.979
176	227	8	0.7707	-72.020
113	142	8	0.8636	-74.019
113	1039	8	0.7892	146.058
267	1024	8	0.7742	-19.006
1024	1039	8	0.7944	-74.019
142	253	8	0.8463	-76.018
64	227	8	0.8451	-296.075
64	242	8	0.8338	148.038
113	227	8	0.8623	-148.038
64	113	8	0.8525	-148.038
142	289	8	0.8351	-148.037
93	998	8	0.7755	-443.114
76	227	8	0.8012	-370.094
227	289	8	0.8746	-74.018
142	267	8	0.8425	313.102
142	998	8	0.8888	-297.075
64	253	8	0.8154	-298.074
76	176	8	0.7957	-298.074
67	113	8	0.8353	-74.019
113	289	8	0.8726	-222.056
93	253	8	0.8637	-222.057
142	400	8	0.837	-149.038
253	998	8	0.8586	-221.057
113	267	8	0.8165	239.083
64	228	8	0.8259	165.064
181	267	8	0.8144	-166.048
67	142	8	0.8759	-148.037
257	998	8	0.735	-463.123
205	228	8	0.7518	73.035
289	998	8	0.8366	-149.038
242	1039	8	0.7381	-150.017
228	1024	8	0.8072	-93.025
205	310	8	0.8161	-60.058
76	142	8	0.8958	-296.075
176	400	8	0.7799	-147.039
67	289	8	0.7997	-296.075
64	142	8	0.9503	-222.057
228	242	8	0.9638	-17.026
76	228	8	0.8517	91.045
142	227	8	0.8709	-74.019
294	1024	8	0.7391	-167.043
242	294	8	0.8988	91.045
228	294	8	0.774	74.019
67	400	8	0.7992	-297.075
67	998	8	0.8362	-445.112
64	67	8	0.8444	-74.019
253	400	8	0.787	-73.020
242	1024	8	0.8222	-75.998
64	76	8	0.9659	74.019
227	998	8	0.8475	-223.056
176	998	8	0.8576	-295.076
67	267	8	0.8016	165.064
67	76	8	0.8527	148.038
253	289	8	0.7597	-72.019
227	400	8	0.812	-75.019
289	400	8	0.7852	-1.001
242	267	8	0.7725	-56.992
64	267	8	0.8825	91.045
76	267	8	0.9173	17.027
181	613	8	0.7806	-74.019
67	253	8	0.7931	-224.055
76	113	8	0.8282	-222.056
400	998	8	0.8464	-148.037
113	998	8	0.8573	-371.094
176	253	8	0.8747	-74.019
113	400	8	0.825	-223.057
93	176	8	0.8543	-148.038
67	227	8	0.829	-222.056
76	242	8	0.865	74.019
1	36	9	0.8372	3.011
81	739	9	0.8784	-77.910
81	85	9	0.8915	17.027
467	822	9	0.7661	14.015
167	207	9	0.7798	-40.056
62	287	9	0.864	0.032
27	45	9	0.8161	-33.010
74	526	9	0.9109	4.031
69	87	9	0.7883	-60.020
40	106	9	0.834	-38.016
154	526	9	0.8135	230.260
27	72	9	0.87	-26.016
26	56	9	0.7721	-10.009
8	45	9	0.8298	18.010
69	154	9	0.8764	-100.088
96	154	9	0.9333	-112.125
2	26	9	0.8573	14.016
167	307	9	0.8011	-44.026
45	207	9	0.8319	-33.000
2	55	9	0.8059	10.021
4	69	9	0.9294	44.026
97	148	9	0.7874	-24.039
56	134	9	0.7498	-15.995
145	307	9	0.7915	5.040
65	232	9	0.8545	46.041
40	72	9	0.8412	0.995
96	353	9	0.8798	-70.078
31	53	9	0.8218	-15.995
45	307	9	0.8556	-36.970
96	178	9	0.768	-100.088
69	526	9	0.8104	130.172
71	106	9	0.8505	-14.016
8	73	9	0.819	-32.005
48	199	9	0.8385	-26.102
26	124	9	0.7871	-46.006
65	145	9	0.8206	116.192
207	522	9	0.8118	-30.008
108	951	9	0.8284	-128.120
112	349	9	0.9393	-17.026
199	492	9	0.815	-12.000
45	492	9	0.921	-97.053
132	443	9	0.8054	15.995
40	71	9	0.8312	-24.000
154	353	9	0.9318	42.047
45	145	9	0.8789	-42.010
36	59	9	0.9291	14.016
26	55	9	0.7792	-3.995
4	178	9	0.8794	-44.026
26	71	9	0.7867	-52.031
4	154	9	0.977	-56.062
535	839	9	0.7448	-33.984
1	72	9	0.7786	16.031
148	522	9	0.8379	2.043
4	367	9	0.8479	-42.047
1	27	9	0.8363	42.047
18	124	9	0.8458	-23.975
23	307	9	0.7584	65.171
55	167	9	0.8153	-22.979
81	746	9	0.8698	-79.908
55	207	9	0.7913	-63.036
167	210	9	0.7741	-16.020
8	74	9	0.8621	58.006
270	307	9	0.7662	-0.000
27	59	9	0.8012	-25.020
55	656	9	0.8504	-34.957
145	207	9	0.7566	9.010
53	132	9	0.7762	17.026
2	40	9	0.8608	-14.015
48	207	9	0.8198	25.950
43	124	9	0.8646	-40.006
43	112	9	0.8994	-14.016
26	72	9	0.7745	-27.036
23	367	9	0.7903	-70.078
65	96	9	0.9318	84.093
57	106	9	0.8395	-26.016
69	353	9	0.798	-58.041
178	232	9	0.7457	62.037
23	178	9	0.7559	-72.057
56	167	9	0.7834	-16.965
19	57	9	0.8217	15.011
96	232	9	0.8123	-38.052
823	839	9	0.8283	15.995
210	307	9	0.7762	-28.006
4	65	9	0.9793	-28.031
73	339	9	0.9798	0.000
232	803	9	0.8032	-92.935
4	353	9	0.9353	-14.016
62	349	9	0.7524	-0.036
18	31	9	0.9454	-33.984
55	700	9	0.8735	-55.994
74	199	9	0.8627	-125.048
23	96	9	0.9184	28.031
23	232	9	0.8071	-10.021
73	77	9	0.9783	0.000
158	270	9	0.9037	14.016
56	210	9	0.777	-32.985
512	598	9	0.792	10.009
512	579	9	0.7683	39.012
45	526	9	0.849	44.026
154	232	9	0.8544	74.073
85	132	9	0.8329	23.016
8	199	9	0.7857	-67.042
36	57	9	0.8306	0.025
27	199	9	0.7989	-118.063
55	199	9	0.8047	-115.088
26	45	9	0.7877	-34.031
4	232	9	0.8463	18.010
43	649	9	0.7748	-13.979
65	803	9	0.8446	-46.894
31	839	9	0.77	-129.042
59	72	9	0.8127	-0.995
73	199	9	0.7638	-35.037
2	210	9	0.8256	-28.979
65	353	9	0.938	14.016
19	40	9	0.7582	27.011
504	839	9	0.8844	-48.000
316	769	9	0.9356	-18.010
112	124	9	0.8447	-25.991
27	36	9	0.8224	-39.036
18	112	9	0.8146	2.016
739	746	9	0.9479	-1.998
210	656	9	0.747	4.043
154	187	9	0.8427	26.037
31	579	9	0.9273	-147.067
26	27	9	0.8691	-1.020
31	124	9	0.8324	10.009
48	398	9	0.7604	-28.031
158	207	9	0.7483	17.985
40	57	9	0.8053	-12.000
65	367	9	0.8442	-14.016
579	839	9	0.7701	18.026
145	526	9	0.8068	86.037
59	71	9	0.7454	-25.991
52	210	9	0.8174	15.970
65	69	9	0.8722	72.057
538	802	9	0.8364	286.132
8	77	9	0.8244	-32.005
26	36	9	0.7563	-40.056
23	154	9	0.9295	-84.094
504	535	9	0.791	-14.015
57	71	9	0.748	-12.000
199	339	9	0.7719	35.037
69	96	9	0.8279	12.036
4	23	9	0.9311	28.031
145	199	9	0.7801	-43.042
2	56	9	0.8139	4.006
594	725	9	0.8144	-49.078
4	268	9	0.8276	23.148
316	448	9	0.9319	28.031
287	649	9	0.8285	16.994
31	56	9	0.8961	46.006
2	45	9	0.8444	-20.015
31	112	9	0.8162	36.000
8	339	9	0.8327	-32.005
594	769	9	0.8978	-79.052
803	836	9	0.8084	-80.063
2	44	9	0.8392	-123.079
1	40	9	0.7537	15.036
27	106	9	0.8052	-65.027
145	167	9	0.7999	49.067
40	59	9	0.764	1.990
55	526	9	0.832	13.991
18	43	9	0.8754	16.031
158	307	9	0.863	14.016
23	353	9	0.8739	-42.047
98	547	9	0.7488	-9.088
48	547	9	0.7731	2.924
27	40	9	0.8499	-27.011
124	598	9	0.7778	-186.079
2	27	9	0.8514	12.995
167	526	9	0.7918	36.970
2	71	9	0.8566	-38.016
52	656	9	0.7613	20.012
72	106	9	0.8522	-39.011
130	575	9	0.7688	0.073
65	154	9	0.9819	-28.031
45	199	9	0.8623	-85.053
55	413	9	0.9029	-113.059
112	649	9	0.7612	0.036
148	575	9	0.7836	0.036
4	96	9	0.9331	56.062
81	634	9	0.8034	-0.984
2	72	9	0.8318	-13.020
108	656	9	0.7855	130.135
23	65	9	0.9297	-56.062
69	232	9	0.8689	-26.015
71	72	9	0.8247	24.995
353	367	9	0.9013	-28.031
145	547	9	0.8349	-14.016
36	106	9	0.7521	-25.991
62	649	9	0.7564	17.026
77	339	9	0.9876	0.000
152	656	9	0.8435	0.000
154	367	9	0.8335	14.016
725	769	9	0.8695	-29.974
96	367	9	0.793	-98.109
26	40	9	0.8864	-28.031
66	71	9	0.7994	-14.016
504	823	9	0.7681	-63.994
232	353	9	0.8504	-32.026
36	72	9	0.8199	13.020
18	467	9	0.9138	-113.084
53	81	9	0.7583	-23.016
494	594	9	0.8067	-14.016
270	700	9	0.7726	11.012
81	764	9	0.8685	-204.090
802	803	9	0.7443	-50.061
124	494	9	0.7724	-19.994
472	545	10	0.9786	-26.016
472	796	10	0.9729	-28.031
452	545	10	0.8895	-28.031
545	796	10	0.9803	-2.016
452	472	10	0.8987	-2.016
695	916	11	0.8789	-28.031
389	916	11	0.8485	-53.136
475	1065	11	0.9698	2.016
475	606	11	0.8666	-110.110
475	916	11	0.908	0.000
389	475	11	0.8477	-53.136
695	1065	11	0.8883	-26.016
389	695	11	0.818	-25.104
723	756	11	0.8899	28.031
514	723	11	0.9153	-23.089
606	723	11	0.9001	112.126
723	1065	11	0.9695	0.000
475	514	11	0.9035	25.105
695	723	11	0.8783	-26.016
475	723	11	0.9661	2.016
514	1065	11	0.9137	-23.089
514	916	11	0.8604	-25.105
389	514	11	0.8901	-28.031
606	1065	11	0.8816	112.126
389	756	11	0.8329	-23.089
916	1065	11	0.9057	2.016
