filename	ATTRIBUTE_Dilution	ATTRIBUTE_FILENAME	ATTRIBUTE_ALL_SAMPLES	path	Concentration	Dilution	Replicate	Metadata_column
L_C18_Polar_16_Blk_no_inj_02.mzML	0	L_C18_Polar_16_Blk_no_inj_02	BLANKS	lfnothias/1812_NIST_mix/L_C18_Polar_16_Blk_no_inj_02.mzML	0	0	1	C18_Polar_16
L_C18_Polar_16_Blk_no_inj_04.mzML	0	L_C18_Polar_16_Blk_no_inj_04	BLANKS	lfnothias/1812_NIST_mix/L_C18_Polar_16_Blk_no_inj_04.mzML	0	0	2	C18_Polar_16
L_C18_Polar_16_Blk_no_inj_06.mzML	0	L_C18_Polar_16_Blk_no_inj_06	BLANKS	lfnothias/1812_NIST_mix/L_C18_Polar_16_Blk_no_inj_06.mzML	0	0	3	C18_Polar_16
L_C18_Polar_16_Blk_no_inj_08.mzML	0	L_C18_Polar_16_Blk_no_inj_08	BLANKS	lfnothias/1812_NIST_mix/L_C18_Polar_16_Blk_no_inj_08.mzML	0	0	4	C18_Polar_16
L_C18_Polar_16_MS2_DF_1_01.mzML	1	L_C18_Polar_16_MS2_DF_1_01	SAMPLES	lfnothias/1812_NIST_mix/L_C18_Polar_16_MS2_DF_1_01.mzML	1	1	1	C18_Polar_16
L_C18_Polar_16_MS2_DF_1_02.mzML	1	L_C18_Polar_16_MS2_DF_1_02	SAMPLES	lfnothias/1812_NIST_mix/L_C18_Polar_16_MS2_DF_1_02.mzML	1	1	2	C18_Polar_16
L_C18_Polar_16_MS2_DF_1_03.mzML	1	L_C18_Polar_16_MS2_DF_1_03	SAMPLES	lfnothias/1812_NIST_mix/L_C18_Polar_16_MS2_DF_1_03.mzML	1	1	3	C18_Polar_16
L_C18_Polar_16_MS2_DF_125_01.mzML	125	L_C18_Polar_16_MS2_DF_125_01	SAMPLES	lfnothias/1812_NIST_mix/L_C18_Polar_16_MS2_DF_125_01.mzML	0.008	125	1	C18_Polar_16
L_C18_Polar_16_MS2_DF_125_02.mzML	125	L_C18_Polar_16_MS2_DF_125_02	SAMPLES	lfnothias/1812_NIST_mix/L_C18_Polar_16_MS2_DF_125_02.mzML	0.008	125	2	C18_Polar_16
L_C18_Polar_16_MS2_DF_125_03.mzML	125	L_C18_Polar_16_MS2_DF_125_03	SAMPLES	lfnothias/1812_NIST_mix/L_C18_Polar_16_MS2_DF_125_03.mzML	0.008	125	3	C18_Polar_16
L_C18_Polar_16_MS2_DF_25_01.mzML	25	L_C18_Polar_16_MS2_DF_25_01	SAMPLES	lfnothias/1812_NIST_mix/L_C18_Polar_16_MS2_DF_25_01.mzML	0.04	25	1	C18_Polar_16
L_C18_Polar_16_MS2_DF_25_02.mzML	25	L_C18_Polar_16_MS2_DF_25_02	SAMPLES	lfnothias/1812_NIST_mix/L_C18_Polar_16_MS2_DF_25_02.mzML	0.04	25	2	C18_Polar_16
L_C18_Polar_16_MS2_DF_25_03.mzML	25	L_C18_Polar_16_MS2_DF_25_03	SAMPLES	lfnothias/1812_NIST_mix/L_C18_Polar_16_MS2_DF_25_03.mzML	0.04	25	3	C18_Polar_16
L_C18_Polar_16_MS2_DF_5_01.mzML	5	L_C18_Polar_16_MS2_DF_5_01	SAMPLES	lfnothias/1812_NIST_mix/L_C18_Polar_16_MS2_DF_5_01.mzML	0.2	5	1	C18_Polar_16
L_C18_Polar_16_MS2_DF_5_02.mzML	5	L_C18_Polar_16_MS2_DF_5_02	SAMPLES	lfnothias/1812_NIST_mix/L_C18_Polar_16_MS2_DF_5_02.mzML	0.2	5	2	C18_Polar_16
L_C18_Polar_16_MS2_DF_5_03.mzML	5	L_C18_Polar_16_MS2_DF_5_03	SAMPLES	lfnothias/1812_NIST_mix/L_C18_Polar_16_MS2_DF_5_03.mzML	0.2	5	3	C18_Polar_16
L_C18_Polar_16_MS2_DF_625_01.mzML	625	L_C18_Polar_16_MS2_DF_625_01	SAMPLES	lfnothias/1812_NIST_mix/L_C18_Polar_16_MS2_DF_625_01.mzML	0.0016	625	1	C18_Polar_16
L_C18_Polar_16_MS2_DF_625_02.mzML	625	L_C18_Polar_16_MS2_DF_625_02	SAMPLES	lfnothias/1812_NIST_mix/L_C18_Polar_16_MS2_DF_625_02.mzML	0.0016	625	2	C18_Polar_16
L_C18_Polar_16_MS2_DF_625_03.mzML	625	L_C18_Polar_16_MS2_DF_625_03	SAMPLES	lfnothias/1812_NIST_mix/L_C18_Polar_16_MS2_DF_625_03.mzML	0.0016	625	3	C18_Polar_16
