#Scan#	Adduct	CAS_Number	Charge	Compound_Name	Precursor_MZ	Validation	Compound_Source	Data_Collector	ExactMass	FileScanUniqueID	INCHI	INCHI_AUX	Instrument	IonMode	Ion_Source	LibMZ	LibraryName	LibraryQualityString	Library_Class	MQScore	MZErrorPPM	MassDiff	NumberHits	Organism	PI	Precursor_MZ	Pubmed_ID	RT_Query	SharedPeaks	Smiles	SpecCharge	SpecMZ	SpectrumFile	SpectrumID	TIC_Query	UpdateWorkflowName	tags
526	M+H-H2O	660888	1	5-Aminovaleric acid	100.076	YES	Isolated	NIST	0	spectra/specs_ms.mgf526	InChI=1S/C5H11NO2/c6-4-2-1-3-5(7)8/h1-4,6H2,(H,7,8)	N/A	Q-TOF	Positive	ESI	100.076	lib-00000.mgf	Bronze	3	0.773054	1.98214	0.000198364	1	NIST17	NIST	100.076	N/A	0	4	C(CCN)CC(=O)O	1	100.076	spectra/specs_ms.mgf	CCMSLIB00003184608	3.35E+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
74	M+H-C3H7O5P	28319779	1	Glycerophosphocholine	104.107		Isolated	NIST	0	spectra/specs_ms.mgf74	InChI=1S/C8H20NO6P/c1-9(2,3)4-5-14-16(12,13)15-7-8(11)6-10/h8,10-11H,4-7H2,1-3H3/t8-/m1/s1	N/A	HCD	Positive	ESI	104.107	lib-00000.mgf	Bronze	3	0.988586	1.97867	0.000205994	1	NIST17	NIST	104.107	N/A	0	4	C[N+](C)(C)CCOP(=O)([O-])OCC(CO)O	1	104.107	spectra/specs_ms.mgf	CCMSLIB00003377772	1.37E+07	UPDATE-SINGLE-ANNOTATED-BRONZE	 
43	M+H-C2H7N3	17035904	1	L-NG-Monomethylarginine	116.071		Isolated	NIST	0	spectra/specs_ms.mgf43	InChI=1S/C7H16N4O2/c1-10-7(9)11-4-2-3-5(8)6(12)13/h5H,2-4,8H2,1H3,(H,12,13)(H3,9,10,11)/t5-/m0/s1	N/A	HCD	Positive	ESI	116.071	lib-00000.mgf	Bronze	3	0.997422	0.854498	9.92E-05	1	NIST17	NIST	116.071	N/A	0	4	CN=C(N)NCCCC(C(=O)[O-])[NH3+]	1	116.071	spectra/specs_ms.mgf	CCMSLIB00003506154	9.73E+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
56	M+H-C9H8O3	738750	1	N-(Phenylacetyl)-L-phenylalanine	120.081		Isolated	NIST	0	spectra/specs_ms.mgf56	InChI=1S/C17H17NO3/c19-16(12-14-9-5-2-6-10-14)18-15(17(20)21)11-13-7-3-1-4-8-13/h1-10,15H,11-12H2,(H,18,19)(H,20,21)/t15-/m0/s1	N/A	HCD	Positive	ESI	120.081	lib-00000.mgf	Bronze	3	0.984995	1.71546	0.000205994	1	NIST17	NIST	120.081	N/A	0	5	C1=CC=C(C=C1)CC(C(=O)O)NC(=O)CC2=CC=CC=C2	1	120.081	spectra/specs_ms.mgf	CCMSLIB00003650990	1.61E+07	UPDATE-SINGLE-ANNOTATED-BRONZE	 
649	M+H-H2O	5147002	1	O-Acetyl-L-serine	130.05	YES	Isolated	NIST	0	spectra/specs_ms.mgf649	InChI=1S/C5H9NO4/c1-3(7)10-2-4(6)5(8)9/h4H,2,6H2,1H3,(H,8,9)	N/A	IT-FT/ion trap with FTMS	Positive	ESI	130.05	lib-00000.mgf	Bronze	3	0.832502	0.703982	9.16E-05	1	NIST17	NIST	130.05	N/A	0	4	CC(=O)OCC(C(=O)[O-])[NH3+]	1	130.05	spectra/specs_ms.mgf	CCMSLIB00003297542	3.23E+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
112	M+H-NH3	56871	1	L-Lysine	130.086	YES	Isolated	NIST	0	spectra/specs_ms.mgf112	InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/t5-/m0/s1	N/A	HCD	Positive	ESI	130.086	lib-00000.mgf	Bronze	3	0.901816	1.52487	0.000198364	1	NIST17	NIST	130.086	N/A	0	3	[H+].C(CCN)CC(C(=O)[O-])N	1	130.086	spectra/specs_ms.mgf	CCMSLIB00003365110	6.78E+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
50	M+H	57001	1	Creatine	132.077		Isolated	NIST	0	spectra/specs_ms.mgf50	InChI=1S/C4H9N3O2/c1-7(4(5)6)2-3(8)9/h2H2,1H3,(H3,5,6)(H,8,9)	N/A	IT-FT/ion trap with FTMS	Positive	ESI	132.077	lib-00000.mgf	Bronze	3	0.939702	1.50189	0.000198364	1	NIST17	NIST	132.077	N/A	0	3	CN(CC(=O)[O-])C(=N)[NH3+]	1	132.077	spectra/specs_ms.mgf	CCMSLIB00003469403	5.06E+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
18	M+H	2480231	1	N-Methyl-L-valine	132.102		Isolated	NIST	0	spectra/specs_ms.mgf18	InChI=1S/C6H13NO2/c1-4(2)5(7-3)6(8)9/h4-5,7H,1-3H3,(H,8,9)/t5-/m0/s1	N/A	HCD	Positive	ESI	132.102	lib-00000.mgf	Bronze	3	0.91725	1.5016	0.000198364	1	NIST17	NIST	132.102	N/A	0	3	CC(C)C(C(=O)[O-])[NH2+]C	1	132.102	spectra/specs_ms.mgf	CCMSLIB00003364577	6.75E+07	UPDATE-SINGLE-ANNOTATED-BRONZE	 
605	M+H	1187844	1	S-Methyl-L-cysteine	136.043		Isolated	NIST	0	spectra/specs_ms.mgf605	InChI=1S/C4H9NO2S/c1-8-2-3(5)4(6)7/h3H,2,5H2,1H3,(H,6,7)/t3-/m0/s1	N/A	HCD	Positive	ESI	136.043	lib-00000.mgf	Bronze	3	0.898322	38.2472	0.00520325	1	NIST17	NIST	136.043	N/A	0	4	CSCC(C(=O)[O-])[NH3+]	1	136.048	spectra/specs_ms.mgf	CCMSLIB00003368467	136500	UPDATE-SINGLE-ANNOTATED-BRONZE	 
134	M+H-C3H4O3	537553	1	N-Acetyl-L-tyrosine	136.076		Isolated	NIST	0	spectra/specs_ms.mgf134	InChI=1S/C11H13NO4/c1-7(13)12-10(11(15)16)6-8-2-4-9(14)5-3-8/h2-5,10,14H,6H2,1H3,(H,12,13)(H,15,16)/t10-/m0/s1	N/A	HCD	Positive	ESI	136.076	lib-00000.mgf	Bronze	3	0.995664	1.45775	0.000198364	1	NIST17	NIST	136.076	N/A	0	6	CC(=O)NC(CC1=CC=C(C=C1)O)C(=O)O	1	136.076	spectra/specs_ms.mgf	CCMSLIB00003445292	1.91E+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
