G1	G2	G3	G4	G5	G6	GNPSLinkout_Cluster	GNPSLinkout_Network	LibraryID	MQScore	RTConsensus	RTMean	RTStdErr	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1.0","main.cluster index_upperinput":"1.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=15&task=fdaa55d8a7254a1596017d472f455398&show=true	N/A	N/A	780.5888	780.5888	0	N/A	14714355584.0	19	1	15	19	203.0674	2	102.0337	14714355584.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2.0","main.cluster index_upperinput":"2.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=18&task=fdaa55d8a7254a1596017d472f455398&show=true	N/A	N/A	781.3146	781.3146	0	N/A	4108296100.0	19	2	18	19	221.0779	2	111.0390	4108296100.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3.0","main.cluster index_upperinput":"3.0"}	This Node is a Singleton	N/A	N/A	370.8165	370.8165	0	N/A	78011900.0	19	3	-1	19	290.2681	1	290.2681	78011900.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"4.0","main.cluster index_upperinput":"4.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=fdaa55d8a7254a1596017d472f455398&show=true	N/A	N/A	399.3104	399.3104	0	N/A	87558011.0	19	4	5	19	302.3043	1	302.3043	87558011.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"5.0","main.cluster index_upperinput":"5.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=15&task=fdaa55d8a7254a1596017d472f455398&show=true	N/A	N/A	780.5772	780.5772	0	N/A	2621274296.0	19	5	15	19	244.0938	2	122.5469	2621274296.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"6.0","main.cluster index_upperinput":"6.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=40&task=fdaa55d8a7254a1596017d472f455398&show=true	N/A	N/A	580.9880	580.9880	0	N/A	244556512.0	19	6	40	19	554.1752	1	554.1752	244556512.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"7.0","main.cluster index_upperinput":"7.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=98&task=fdaa55d8a7254a1596017d472f455398&show=true	Spectral Match to Sulfadimethoxine from NIST14	0.988471	310.5674	310.5674	0	CCMSLIB00003138938	3290904400.0	19	7	98	19	311.0798	1	311.0798	3290904400.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"8.0","main.cluster index_upperinput":"8.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=40&task=fdaa55d8a7254a1596017d472f455398&show=true	Contaminant vial septum ThermoFisher C5000-44B	0.923776	653.3812	653.3812	0	CCMSLIB00005435824	93313481.0	19	8	40	19	776.2317	1	776.2317	93313481.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"9.0","main.cluster index_upperinput":"9.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=79&task=fdaa55d8a7254a1596017d472f455398&show=true	N/A	N/A	784.7396	784.7396	0	N/A	3982916192.0	19	9	79	19	199.9875	1	199.9875	3982916192.0
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fdaa55d8a7254a1596017d472f455398&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"10.0","main.cluster index_upperinput":"10.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=84&task=fdaa55d8a7254a1596017d472f455398&show=true	Spectral Match to Tris(2-butoxyethyl) phosphate from NIST14	0.983051	481.7884	481.7884	0	CCMSLIB00003140225	174663330.0	19	10	84	19	399.2501	1	399.2501	174663330.0
