CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
881	1043	2	0.7009	-28.032
270	1012	2	0.709	-26.015
396	741	2	0.7151	23.999
391	398	2	0.7594	-2.015
270	396	2	0.7968	2.016
396	813	2	0.7212	411.770
125	891	2	0.7327	-2.016
306	398	2	0.7964	-28.029
125	270	2	0.9275	-28.032
1012	1014	2	0.7666	0.948
396	881	2	0.7288	10.043
741	1042	2	0.717	-15.973
398	1012	2	0.824	-2.016
306	972	2	0.7763	-23.999
125	972	2	0.7059	-47.999
306	741	2	0.7262	21.985
306	813	2	0.9069	409.755
306	396	2	0.7958	-2.015
391	396	2	0.7745	23.999
306	881	2	0.7641	8.028
391	972	2	0.7231	2.015
881	972	2	0.7613	-32.026
125	396	2	0.788	-26.016
741	891	2	0.7884	0.000
125	881	2	0.7579	-15.973
125	741	2	0.9027	-2.016
125	306	2	0.7967	-24.001
270	398	2	0.8313	-23.998
857	875	3	0.8402	4.032
162	602	3	0.9653	12.000
106	496	3	0.9071	-48.000
616	669	3	0.9016	9.948
106	872	3	0.9219	-67.987
106	616	3	0.9646	6.047
665	875	3	0.8649	-23.999
470	602	3	0.9018	-28.031
162	993	3	0.9009	-67.987
370	897	3	0.8255	-464.402
470	616	3	0.8861	-36.000
870	993	3	0.9296	-26.014
665	857	3	0.8242	-28.031
234	249	3	0.8479	-473.345
267	870	3	0.9531	427.344
65	669	3	0.9027	-12.036
499	669	3	0.9014	-26.016
267	434	3	0.8203	183.102
362	602	3	0.9243	57.985
267	873	3	0.903	-67.985
788	875	3	0.8938	2.016
665	788	3	0.9053	-26.016
359	897	3	0.9351	495.327
234	661	3	0.8382	-50.018
496	602	3	0.9081	62.016
234	897	3	0.9751	-495.330
106	602	3	0.9725	14.016
65	162	3	0.9813	-26.016
106	362	3	0.9312	-43.969
870	872	3	0.9414	-28.030
175	593	3	0.9089	-18.010
175	669	3	0.9164	-14.052
593	909	3	0.8698	31.990
175	602	3	0.963	-16.031
380	872	3	0.9384	455.375
872	993	3	0.9188	2.016
249	823	3	0.8576	-126.046
661	897	3	0.8451	-445.313
249	361	3	0.8538	-30.934
788	857	3	0.8497	-2.015
234	370	3	0.8252	-30.929
