row ID,row m/z,row retention time,L_C18_Polar_16_MS2_DF_1_01.mzML Peak area,L_C18_Polar_16_MS2_DF_1_02.mzML Peak area,L_C18_Polar_16_MS2_DF_1_03.mzML Peak area,L_C18_Polar_16_MS2_DF_25_02.mzML Peak area,L_C18_Polar_16_MS2_DF_25_01.mzML Peak area,L_C18_Polar_16_MS2_DF_25_03.mzML Peak area,L_C18_Polar_16_MS2_DF_5_01.mzML Peak area,L_C18_Polar_16_MS2_DF_5_02.mzML Peak area,L_C18_Polar_16_MS2_DF_5_03.mzML Peak area,L_C18_Polar_16_Blk_no_inj_02.mzML Peak area,L_C18_Polar_16_Blk_no_inj_04.mzML Peak area,L_C18_Polar_16_Blk_no_inj_06.mzML Peak area,L_C18_Polar_16_Blk_no_inj_08.mzML Peak area,L_C18_Polar_16_MS2_DF_625_01.mzML Peak area,L_C18_Polar_16_MS2_DF_625_02.mzML Peak area,L_C18_Polar_16_MS2_DF_625_03.mzML Peak area,L_C18_Polar_16_MS2_DF_125_03.mzML Peak area,L_C18_Polar_16_MS2_DF_125_02.mzML Peak area,L_C18_Polar_16_MS2_DF_125_01.mzML Peak area
1,102.03371458804199,780.5887957121299,742765312.0,771211072.0,814968512.0,733418688.0,796707968.0,837682688.0,670616832.0,777963072.0,894299904.0,926253120.0,894505984.0,676498688.0,673392768.0,623772032.0,741099520.0,814899904.0,812199168.0,760554880.0,751545472.0
2,111.03895036408501,781.314609233458,238588096.0,250964496.0,254992096.0,236521600.0,242686304.0,252719104.0,223238304.0,249235808.0,259526896.0,51625648.0,52677540.0,217357408.0,209917904.0,195408896.0,224978800.0,250497696.0,232316800.0,221921104.0,243121600.0
3,290.268067533111,370.81648761996803,5230193.0,4465598.0,4251535.0,3945531.0,4303219.0,4059550.0,4311076.0,4816115.0,4635716.0,2638717.0,2742417.0,4117208.0,3291945.0,3902551.0,4238378.0,4653135.0,4362547.0,4009156.0,4037313.0
4,302.30433843529204,399.310444084997,1637124.0,1150960.0,9843772.0,11124140.0,1418050.0,1484570.0,1251566.0,1324967.0,1481693.0,5535403.0,5972153.0,9830435.0,1246489.0,1261410.0,10136920.0,1341882.0,10149860.0,1463741.0,9902876.0
5,122.546918271457,780.5771936298621,132416000.0,148551600.0,151066096.0,147975504.0,150180496.0,151096000.0,134548608.0,144618496.0,150915696.0,126986896.0,119860896.0,129127104.0,129199296.0,109958304.0,137800304.0,143780896.0,137294496.0,130013800.0,145883808.0
6,554.175239340999,580.98795406903,19568800.0,49176140.0,43673280.0,7871679.0,6778915.0,5066891.0,16766860.0,6643465.0,28097020.0,4909752.0,5307817.0,2877012.0,2814067.0,12429380.0,3414054.0,4136933.0,8259820.0,4205207.0,12559420.0
7,311.079770927217,310.567425285188,232215600.0,219855696.0,296249088.0,192206304.0,250960704.0,222264992.0,172421696.0,229287200.0,234846000.0,7920053.0,8024264.0,9340817.0,10426690.0,190766800.0,247624096.0,154293104.0,183574000.0,241846592.0,186780704.0
8,776.23170399433,653.381150269678,6076030.0,8782113.0,7167955.0,4728819.0,4096644.0,5836916.0,6017978.0,6892113.0,11358950.0,2044514.0,3757042.0,1763931.0,1778584.0,2234374.0,2776639.0,4292261.0,5874698.0,3037196.0,4796724.0
9,199.98748459635,784.7396249218469,196443696.0,200189408.0,188670208.0,193033696.0,201042896.0,228216992.0,185072192.0,213239008.0,230781904.0,261044896.0,246239008.0,204948704.0,180239104.0,185806592.0,202355696.0,221608000.0,221606000.0,201335600.0,221042592.0
10,399.25008556746104,481.78836217602696,12337930.0,11957600.0,13784280.0,8768389.0,7604900.0,10511240.0,7823926.0,7845454.0,11786770.0,5313788.0,4873746.0,8262929.0,10595980.0,6773399.0,8976567.0,9704063.0,10737350.0,10242620.0,6762399.0
11,167.012596816558,781.4703064797079,313752704.0,328074816.0,351995584.0,323839616.0,333032384.0,361753312.0,299816896.0,334096096.0,382961312.0,324826592.0,322277600.0,280461696.0,279978208.0,278568384.0,313397504.0,332221888.0,354388096.0,324929696.0,336537984.0
12,125.98605151016899,782.610699731611,220250208.0,247082096.0,267915392.0,242192992.0,249745792.0,279399392.0,217375696.0,253035104.0,292700896.0,250241696.0,256842704.0,218561792.0,223521200.0,209987696.0,240195808.0,258916704.0,269677696.0,253217104.0,246018800.0
13,139.017649539183,780.476187778442,67415152.0,69448976.0,76211264.0,68231632.0,67162720.0,77330096.0,61025168.0,69560736.0,86721232.0,79701432.0,79652656.0,65576480.0,60556232.0,59199288.0,64399720.0,71456912.0,80431920.0,69567344.0,72651960.0
14,246.24233558987302,329.234799733445,38707800.0,38757860.0,36711100.0,46127000.0,49093248.0,36331872.0,44985088.0,43671208.0,36467520.0,34014328.0,36375688.0,44306380.0,36541640.0,41801488.0,43474152.0,36304940.0,43141400.0,46025872.0,37801472.0
15,230.247541913033,368.379924817195,6781410.0,6968077.0,5577357.0,9677228.0,10913030.0,8551338.0,10236170.0,7926020.0,5972869.0,5074639.0,5933953.0,6991384.0,8115280.0,7227486.0,9768155.0,946866.0,6513192.0,7748502.0,855225.0
16,496.33914648117894,451.943962788556,3901637888.0,5534494208.0,0.0,209779600.0,172805696.0,281562496.0,1279120000.0,1396800000.0,1808753024.0,7254555.0,8407547.0,7932745.0,10759290.0,4747455.0,14213190.0,12212030.0,38676220.0,26504860.0,31026710.0
17,217.10444726823602,766.167267824656,37490180.0,35493400.0,34288128.0,51504980.0,54472040.0,47824920.0,50410900.0,50053248.0,58991488.0,11650080.0,11547420.0,0.0,0.0,52363088.0,18190440.0,26267180.0,38498340.0,35347840.0,73541368.0
18,702.212997624405,634.040152862329,8272696.0,11809310.0,15569840.0,7700525.0,7539286.0,17473670.0,9673034.0,10680830.0,23393280.0,1812483.0,1670343.0,0.0,0.0,6135405.0,2242367.0,3546775.0,10085970.0,5399010.0,9312106.0
19,628.194063775098,610.62451094608,12422520.0,13642700.0,19156200.0,9288578.0,8313497.0,15318400.0,12076600.0,7235861.0,19503350.0,1069291.0,1567693.0,0.0,0.0,5347732.0,1684171.0,2480424.0,7781720.0,3864910.0,8383953.0
20,151.035034758233,16.5165171552977,3612345.0,21909410.0,21036850.0,5278605.0,16346120.0,12651630.0,12172480.0,14456950.0,11806900.0,0.0,0.0,1064304.0,4797934.0,18312970.0,3113890.0,5163283.0,14317390.0,11878790.0,12164200.0
21,261.130184259365,765.921218295214,20972260.0,22192200.0,19020140.0,24843840.0,32647160.0,34159760.0,27506690.0,31010210.0,36690960.0,420075.0,450326.3125,0.0,0.0,26763770.0,9227520.0,12305500.0,25380210.0,19772760.0,38101832.0
22,242.283856017025,439.990896421242,88916488.0,66524400.0,70892288.0,94927560.0,83835960.0,74622872.0,0.0,102577696.0,0.0,63319848.0,73246632.0,86792352.0,75337568.0,74294848.0,93393408.0,92068624.0,90711872.0,93539352.0,92071632.0
