CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
54	335	1	0.8144	-135.975
40	54	1	0.8775	45.992
51	205	2	0.9819	-26.016
247	341	2	0.9743	-495.328
350	874	2	0.914	494.324
238	564	2	0.9797	-2.016
965	1013	2	0.8131	-211.071
708	805	2	0.9737	0.037
471	529	2	0.9697	12.036
462	600	2	0.9859	24.001
462	574	2	0.921	-42.044
164	408	2	0.8827	-469.462
890	1018	2	0.9068	101.037
401	890	2	0.9253	-158.045
890	1014	2	0.9084	100.029
484	838	2	0.8577	-45.983
287	708	2	0.8954	42.011
264	874	2	0.8544	-424.336
408	1014	2	0.8785	-82.015
116	1013	2	0.7982	21.988
238	488	2	0.9186	-31.990
838	874	2	0.8199	-400.340
247	264	2	0.8626	-71.999
574	600	2	0.9041	66.046
488	831	2	0.9533	3.995
91	247	2	0.9375	-495.334
408	412	2	0.8546	-76.973
264	838	2	0.9072	-23.997
51	471	2	0.9685	-30.046
281	1015	2	0.9121	-50.017
525	874	2	0.8888	94.994
30	46	2	0.7873	-4.029
462	490	2	0.9186	-23.996
51	805	2	0.9272	-479.300
31	750	2	0.8603	-74.011
460	831	2	0.9425	2.016
412	890	2	0.892	-105.070
363	874	2	0.8697	-412.239
427	574	2	0.956	24.001
556	648	2	0.8999	-68.063
51	529	2	0.9717	-18.011
211	490	2	0.9058	-5.951
32	281	2	0.8974	-26.009
525	930	2	0.9217	-17.130
31	890	2	0.8752	-83.082
427	768	2	0.885	-24.002
247	629	2	0.7955	399.333
31	1018	2	0.9044	17.955
264	629	2	0.8166	471.332
205	460	2	0.9391	9.984
470	648	2	0.8994	469.310
750	1018	2	0.8903	91.966
460	529	2	0.9348	-1.980
401	750	2	0.893	-148.973
350	525	2	0.9159	399.330
350	930	2	0.9217	382.200
341	363	2	0.894	411.233
247	441	2	0.8794	-78.044
30	1015	2	0.7858	-28.027
205	488	2	0.9511	8.005
488	529	2	0.9563	-0.000
371	471	2	0.9752	-2.015
471	831	2	0.9687	16.031
799	838	2	0.8107	24.005
401	405	2	0.9516	78.992
211	427	2	0.8544	-47.999
341	802	2	0.9224	-112.126
205	831	2	0.9707	12.000
490	574	2	0.9541	-18.048
238	251	2	0.8818	28.031
746	750	2	0.8086	-150.988
51	831	2	0.9695	-14.015
46	1015	2	0.8089	-23.998
264	799	2	0.7966	-48.002
264	586	2	0.7871	-21.015
648	927	2	0.9604	2.017
31	401	2	0.8677	74.963
341	441	2	0.9031	417.284
31	1014	2	0.886	16.946
363	629	2	0.807	483.429
525	838	2	0.8813	495.333
205	471	2	0.9725	-4.031
408	1018	2	0.8766	-81.006
460	488	2	0.9095	-1.979
341	525	2	0.9112	-96.000
371	488	2	0.953	10.021
211	600	2	0.9793	42.047
287	427	2	0.8238	-43.968
164	405	2	0.8811	-414.467
525	799	2	0.8186	471.328
363	441	2	0.8849	6.051
341	874	2	0.9078	-1.007
51	488	2	0.9506	-18.010
341	930	2	0.9171	-113.130
574	927	2	0.9317	48.000
46	281	2	0.8525	26.019
281	862	2	0.8904	-52.037
574	768	2	0.8884	-48.003
412	746	2	0.8417	54.989
441	838	2	0.8647	-17.951
192	656	2	0.8046	-24.001
412	750	2	0.8819	-95.999
220	471	2	0.9665	17.954
264	363	2	0.8759	-12.097
287	805	2	0.9346	42.048
220	529	2	0.9589	29.989
164	648	2	0.903	-26.015
750	890	2	0.9175	-9.072
211	927	2	0.8918	24.001
51	460	2	0.9348	-16.031
405	1014	2	0.8762	-137.009
51	371	2	0.9896	-28.031
525	802	2	0.9225	-16.126
211	574	2	0.9227	-23.998
471	488	2	0.9557	12.036
31	1013	2	0.8358	-26.011
220	831	2	0.963	33.985
484	890	2	0.787	-68.213
31	862	2	0.8099	-82.078
227	564	2	0.9667	-28.031
427	484	2	0.8225	-487.293
227	251	2	0.8952	2.016
211	462	2	0.9859	18.046
251	551	2	0.9103	-28.031
205	529	2	0.9674	8.005
470	484	2	0.8008	-87.967
371	460	2	0.9401	12.000
490	600	2	0.9046	47.998
205	371	2	0.9846	-2.016
629	838	2	0.8107	-495.329
227	551	2	0.858	-26.015
371	831	2	0.9728	14.016
862	1015	2	0.8788	2.019
31	412	2	0.9162	21.988
205	220	2	0.9833	-21.984
586	838	2	0.8305	-2.981
408	750	2	0.8648	-172.972
405	408	2	0.9797	-54.994
441	874	2	0.8657	-418.290
220	460	2	0.936	31.969
750	1014	2	0.8892	90.957
51	220	2	0.9794	-48.000
287	574	2	0.8103	-19.967
227	238	2	0.973	-26.016
247	874	2	0.8854	-496.335
281	1013	2	0.8295	4.030
427	462	2	0.842	66.045
247	838	2	0.8249	-95.995
441	629	2	0.8138	477.378
401	1014	2	0.9232	-58.016
405	890	2	0.9065	-237.037
371	529	2	0.9691	10.020
32	100	2	0.8029	-43.967
799	802	2	0.8177	-487.453
746	890	2	0.8279	-160.060
350	802	2	0.9253	383.205
1014	1018	2	0.977	1.009
32	116	2	0.792	-43.967
488	564	2	0.9175	29.974
802	930	2	0.9553	-1.005
401	1018	2	0.9298	-57.008
264	441	2	0.8862	-6.046
30	1013	2	0.9034	26.020
363	838	2	0.8436	-11.900
746	1018	2	0.8109	-59.022
874	930	2	0.887	-112.124
220	371	2	0.98	19.969
427	490	2	0.9202	42.049
281	1018	2	0.8297	47.997
405	750	2	0.8609	-227.966
247	363	2	0.8686	-84.096
529	831	2	0.9659	3.996
164	927	2	0.8914	-23.998
32	46	2	0.8022	-52.028
412	1014	2	0.8819	-5.042
600	927	2	0.8768	-18.046
746	1014	2	0.8092	-60.031
220	488	2	0.9433	29.989
287	648	2	0.9154	26.016
405	1018	2	0.8734	-136.000
408	746	2	0.8446	-21.983
291	363	2	0.7843	-493.464
100	116	2	0.9768	-0.001
264	656	2	0.8161	495.331
490	768	2	0.8238	-66.051
401	412	2	0.8698	-52.974
247	799	2	0.788	-120.001
401	746	2	0.8623	2.015
363	799	2	0.8002	-35.905
802	874	2	0.8979	111.119
648	708	2	0.889	15.995
462	927	2	0.8835	5.955
412	1018	2	0.8825	-4.033
341	350	2	0.9782	-495.330
