#Scan#	Adduct	CAS_Number	Charge	Compound_Name	Compound_Source	Data_Collector	ExactMass	FileScanUniqueID	INCHI	INCHI_AUX	Instrument	IonMode	Ion_Source	LibMZ	LibraryName	LibraryQualityString	Library_Class	MQScore	MZErrorPPM	MassDiff	NumberHits	Organism	PI	Precursor_MZ	Pubmed_ID	RT_Query	SharedPeaks	Smiles	SpecCharge	SpecMZ	SpectrumFile	SpectrumID	TIC_Query	UpdateWorkflowName	tags
1007	M+H	96801557	1	1-O-Hexadecyl-2-deoxy-2-thio-S-acetyl-sn-glyceryl-3-phosphorylcholine	Isolated	NIST	0.0	spectra/specs_ms.mgf1007	InChI=1S/C26H54NO6PS/c1-6-7-8-9-10-11-12-13-14-15-16-17-18-19-21-31-23-26(35-25(2)28)24-33-34(29,30)32-22-20-27(3,4)5/h26H,6-24H2,1-5H3/t26-/m1/s1	N/A	HCD	Positive	ESI	540.348	lib-00000.mgf	Bronze	3	0.72718	4.40525	539.346	1	NIST17	NIST	540.348	N/A	0	5	CCCCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)SC(=O)C	2	540.351	spectra/specs_ms.mgf	CCMSLIB00003408154	662404	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1008	M+H	21482122	1	Pentapropylene glycol	Isolated	NIST	0.0	spectra/specs_ms.mgf1008	InChI=1S/C15H32O6/c1-11(17)7-18-13(3)9-20-15(5)10-21-14(4)8-19-12(2)6-16/h11-17H,6-10H2,1-5H3	N/A	Q-TOF	Positive	ESI	309.227	lib-00000.mgf	Bronze	3	0.900012	3.25676	308.218	1	NIST17	NIST	309.227	N/A	0	4	CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)O	2	309.226	spectra/specs_ms.mgf	CCMSLIB00003231090	251166	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1012	M+H	41889456	1	Benzoylnorecgonine	Isolated	NIST	0.0	spectra/specs_ms.mgf1012	InChI=1S/C15H17NO4/c17-14(18)13-11-7-6-10(16-11)8-12(13)20-15(19)9-4-2-1-3-5-9/h1-5,10-13,16H,6-8H2,(H,17,18)/t10-,11-,12+,13-/m1/s1	N/A	HCD	Positive	ESI	276.123	lib-00000.mgf	Bronze	3	0.968442	1.76835	0.000488281	1	NIST17	NIST	276.123	N/A	0	5	C1CC2C(C(CC1N2)OC(=O)C3=CC=CC=C3)C(=O)O	1	276.122	spectra/specs_ms.mgf	CCMSLIB00003441439	433897	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1013	M+H	0	1	Glu-Phe	Isolated	NIST	0.0	spectra/specs_ms.mgf1013	InChI=1S/C14H18N2O5/c15-10(6-7-12(17)18)13(19)16-11(14(20)21)8-9-4-2-1-3-5-9/h1-5,10-11H,6-8,15H2,(H,16,19)(H,17,18)(H,20,21)/t10-,11-/m0/s1	N/A	HCD	Positive	ESI	295.129	lib-00000.mgf	Bronze	3	0.82921	3.41234	0.00100708	1	NIST17	NIST	295.129	N/A	0	5	C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CCC(=O)O)N	1	295.128	spectra/specs_ms.mgf	CCMSLIB00003736343	215155	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1014	M+H	4423227	1	Glu-Met	Isolated	NIST	0.0	spectra/specs_ms.mgf1014	InChI=1S/C10H18N2O5S/c1-18-5-4-7(10(16)17)12-9(15)6(11)2-3-8(13)14/h6-7H,2-5,11H2,1H3,(H,12,15)(H,13,14)(H,16,17)/t6-,7-/m0/s1	N/A	HCD	Positive	ESI	279.101	lib-00000.mgf	Bronze	3	0.793803	1.74948	278.093	1	NIST17	NIST	279.101	N/A	0	7	CSCCC(C(=O)O)NC(=O)C(CCC(=O)O)N	2	279.1	spectra/specs_ms.mgf	CCMSLIB00003738596	1.01553e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1027	M+H	36816112	1	L-Arachidonoylcarnitine	Isolated	NIST	0.0	spectra/specs_ms.mgf1027	N/A	N/A	HCD	Positive	ESI	448.342	lib-00000.mgf	Bronze	3	0.985261	2.45043	0.00109863	1	NIST17	NIST	448.342	N/A	0	7	N/A	1	448.341	spectra/specs_ms.mgf	CCMSLIB00003411703	97137	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1046	M+H	102673950	1	3-Methylglutarylcarnitine	Isolated	NIST	0.0	spectra/specs_ms.mgf1046	InChI=1S/C13H23NO6/c1-9(5-11(15)16)6-13(19)20-10(7-12(17)18)8-14(2,3)4/h9-10H,5-8H2,1-4H3,(H-,15,16,17,18)	N/A	HCD	Positive	ESI	290.16	lib-00000.mgf	Bronze	3	0.758557	3.05008	0.00088501	1	NIST17	NIST	290.16	N/A	0	7	CC(CC(=O)O)CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	1	290.159	spectra/specs_ms.mgf	CCMSLIB00003578617	809658	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1050	M+H	199854007	1	O-Acetylsalicylhydroxamic acid	Isolated	NIST	0.0	spectra/specs_ms.mgf1050	InChI=1S/C9H9NO4/c1-6(11)14-10-9(13)7-4-2-3-5-8(7)12/h2-5,12H,1H3,(H,10,13)	N/A	IT-FT/ion trap with FTMS	Positive	ESI	196.06	lib-00000.mgf	Bronze	3	0.870189	1.01175	0.000198364	1	NIST17	NIST	196.06	N/A	0	3	CC(=O)ONC(=O)C1=CC=CC=C1O	1	196.06	spectra/specs_ms.mgf	CCMSLIB00003332089	784229	UPDATE-SINGLE-ANNOTATED-BRONZE	 
106	M+H	56859	1	L-Glutamine	Isolated	NIST	0.0	spectra/specs_ms.mgf106	InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)/t3-/m1/s1	N/A	Q-TOF	Positive	ESI	147.076	lib-00000.mgf	Bronze	3	0.874412	13.5909	146.073	1	NIST17	NIST	147.076	N/A	0	3	C(CC(=O)N)C(C(=O)O)N	2	147.078	spectra/specs_ms.mgf	CCMSLIB00003200472	4.84203e+07	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1085	M+H-H2O	80999	1	5.alpha.-Cholest-7-en-3.beta.-ol	Isolated	NIST	0.0	spectra/specs_ms.mgf1085	N/A	N/A	HCD	Positive	ESI	369.352	lib-00000.mgf	Bronze	3	0.881566	0.826247	0.000305176	1	NIST17	NIST	369.352	N/A	0	14	N/A	1	369.351	spectra/specs_ms.mgf	CCMSLIB00003718456	819247	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1090	M+H-NH3	2922830	1	L-Kynurenine	Isolated	NIST	0.0	spectra/specs_ms.mgf1090	InChI=1S/C10H12N2O3/c11-7-4-2-1-3-6(7)9(13)5-8(12)10(14)15/h1-4,8H,5,11-12H2,(H,14,15)	N/A	Q-TOF	Positive	ESI	192.066	lib-00000.mgf	Bronze	3	0.972803	2.62171	382.115	1	NIST17	NIST	192.066	N/A	0	7	C1=CC=C(C(=C1)C(=O)CC(C(=O)[O-])[NH3+])N	3	192.065	spectra/specs_ms.mgf	CCMSLIB00003182835	771637	UPDATE-SINGLE-ANNOTATED-BRONZE	 
110	M+Na	78513	1	Tris(2-butoxyethyl) phosphate	Isolated	NIST	0.0	spectra/specs_ms.mgf110	InChI=1S/C18H39O7P/c1-4-7-10-20-13-16-23-26(19,24-17-14-21-11-8-5-2)25-18-15-22-12-9-6-3/h4-18H2,1-3H3	N/A	HCD	Positive	ESI	421.233	lib-00000.mgf	Bronze	3	0.869342	1.23162	0.000518799	1	NIST17	NIST	421.233	N/A	0	6	CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC	1	421.232	spectra/specs_ms.mgf	CCMSLIB00003265665	1.59359e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1101	M+H	50763207	1	trans-Cinnamoylcocaine	Isolated	NIST	0.0	spectra/specs_ms.mgf1101	N/A	N/A	HCD	Positive	ESI	330.17	lib-00000.mgf	Bronze	3	0.838353	2.12589	329.161	1	NIST17	NIST	330.17	N/A	0	7	N/A	2	330.169	spectra/specs_ms.mgf	CCMSLIB00003535710	153063	UPDATE-SINGLE-ANNOTATED-BRONZE	 
