CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
709	1162	1	0.922	2.016
661	1279	1	0.7287	56.027
661	1162	1	0.9237	-26.016
661	709	1	0.9644	-28.031
838	1402	2	0.7477	26.015
496	741	2	0.7428	28.075
741	1401	2	0.8852	-2.016
741	838	2	0.7832	-26.015
1401	1402	2	0.8926	2.016
741	1402	2	0.9168	0.000
359	829	2	0.885	0.016
496	1402	2	0.7105	28.075
831	1402	2	0.7181	15.973
831	838	2	0.711	-10.043
496	838	2	0.7066	2.059
741	831	2	0.7647	-15.973
359	838	2	0.724	-1.952
19	200	3	0.8519	-0.010
719	1113	3	0.8764	-231.835
126	1045	3	0.983	-262.189
11	69	3	0.8611	-70.077
173	861	3	0.8194	-95.051
382	490	3	0.8563	-181.074
44	861	3	0.8527	15.118
83	1500	3	0.9676	0.001
41	44	3	0.8791	15.995
41	427	3	0.8524	44.026
83	1494	3	0.9315	0.001
34	981	3	0.8537	53.147
44	981	3	0.8621	-18.909
21	83	3	0.812	-32.013
21	1500	3	0.8205	-32.012
41	653	3	0.849	-213.113
69	665	3	0.8309	32.026
200	753	3	0.8381	-34.020
184	1111	3	0.8606	-73.019
519	1045	3	0.8972	-149.105
260	404	3	0.8158	14.016
126	1415	3	0.8744	16.031
706	1500	3	0.9781	-0.057
131	690	3	0.8577	25.180
348	1415	3	0.9363	281.206
136	1350	3	0.9897	206.186
100	186	3	0.9438	-310.064
131	774	3	0.8267	-43.967
34	690	3	0.8654	-2.852
100	112	3	0.8735	188.970
34	131	3	0.9723	-28.032
653	1095	3	0.9243	-3.948
11	875	3	0.8152	-254.092
706	1494	3	0.9502	-0.058
19	603	3	0.8448	-61.998
260	387	3	0.8576	14.016
11	1417	3	0.8139	-21.890
48	212	3	0.9695	-0.057
427	1133	3	0.7842	-30.876
267	603	3	0.8316	21.979
653	1457	3	0.8419	-27.983
653	909	3	0.9548	40.079
69	131	3	0.9153	-42.047
267	438	3	0.9807	-278.084
414	966	3	0.9229	-386.125
414	1494	3	0.9177	-0.096
707	1417	3	0.9801	238.883
753	1133	3	0.8674	18.033
34	41	3	0.9838	56.062
126	311	3	0.9937	-261.766
112	981	3	0.9439	-105.055
41	131	3	0.9574	-84.094
445	861	3	0.9344	428.234
131	861	3	0.8325	115.207
909	1095	3	0.9212	-44.026
1113	1125	3	0.8996	456.872
19	267	3	0.8822	-83.977
41	665	3	0.8507	-10.020
41	69	3	0.9238	-42.046
311	1045	3	0.9928	-0.422
112	861	3	0.9388	-71.027
966	1500	3	0.9432	386.029
126	184	3	0.9026	-33.984
100	267	3	0.8905	32.000
447	1366	3	0.9985	198.001
19	112	3	0.913	72.993
34	69	3	0.9274	14.016
184	382	3	0.7865	-15.995
519	1158	3	0.7851	14.015
44	131	3	0.8599	-100.088
41	146	3	0.8425	-42.046
112	1350	3	0.8978	39.995
200	267	3	0.8249	-83.967
184	1242	3	0.8944	-459.214
21	48	3	0.9429	-324.852
21	1350	3	0.8535	57.998
11	131	3	0.8993	-112.125
19	598	3	0.902	-8.950
653	664	3	0.8733	193.183
719	1125	3	0.9111	225.036
404	861	3	0.8298	-34.057
653	763	3	0.8956	83.037
34	665	3	0.8323	46.042
69	563	3	0.8904	-28.032
112	1417	3	0.9506	-96.000
21	212	3	0.9454	-324.909
11	861	3	0.7929	3.082
100	287	3	0.8715	65.914
44	665	3	0.8507	-26.015
966	1494	3	0.9238	386.029
511	598	3	0.8141	82.080
44	427	3	0.8968	28.031
11	41	3	0.9315	-28.031
1113	1470	3	0.8862	334.768
1350	1366	3	0.8873	4.031
44	653	3	0.869	-229.108
173	184	3	0.8698	-46.008
112	598	3	0.9068	-81.943
83	966	3	0.9342	-386.029
956	969	3	0.8625	-14.016
34	653	3	0.8561	-157.051
311	519	3	0.8898	148.683
19	653	3	0.9195	-242.260
69	146	3	0.8383	0.000
956	981	3	0.8397	21.906
184	1415	3	0.8557	50.016
112	267	3	0.898	-156.970
44	1034	3	0.8748	-28.031
34	44	3	0.8816	72.057
83	706	3	0.9768	0.058
5	19	3	0.8703	148.041
173	1111	3	0.9909	-119.027
11	34	3	0.919	-84.093
598	719	3	0.886	-340.954
126	519	3	0.9041	-113.084
1494	1500	3	0.9459	0.000
279	861	3	0.7843	58.037
200	956	3	0.7881	-53.958
414	1500	3	0.9585	-0.096
414	706	3	0.9646	-0.039
11	981	3	0.8004	-30.946
112	1133	3	0.9	-88.990
112	653	3	0.9321	-315.253
21	1494	3	0.8185	-32.013
706	966	3	0.9476	-386.087
83	414	3	0.9843	0.097
