"SUID","Adduct","AllGroups","ATTRIBUTE_ALL_SAMPLES","ATTRIBUTE_Dilution","ATTRIBUTE_FILENAME","charge","cluster index","componentindex","Compound_Name","Compound_Source","Data_Collector","DefaultGroups","G1","G2","G3","G4","G5","G6","GNPSGROUP:0","GNPSGROUP:1","GNPSGROUP:125","GNPSGROUP:25","GNPSGROUP:5","GNPSGROUP:625","GNPSGROUP:BLANKS","GNPSGROUP:L_C18_Polar_16_Blk_no_inj_02","GNPSGROUP:L_C18_Polar_16_Blk_no_inj_04","GNPSGROUP:L_C18_Polar_16_Blk_no_inj_06","GNPSGROUP:L_C18_Polar_16_Blk_no_inj_08","GNPSGROUP:L_C18_Polar_16_MS2_DF_125_01","GNPSGROUP:L_C18_Polar_16_MS2_DF_125_02","GNPSGROUP:L_C18_Polar_16_MS2_DF_125_03","GNPSGROUP:L_C18_Polar_16_MS2_DF_1_01","GNPSGROUP:L_C18_Polar_16_MS2_DF_1_02","GNPSGROUP:L_C18_Polar_16_MS2_DF_1_03","GNPSGROUP:L_C18_Polar_16_MS2_DF_25_01","GNPSGROUP:L_C18_Polar_16_MS2_DF_25_02","GNPSGROUP:L_C18_Polar_16_MS2_DF_25_03","GNPSGROUP:L_C18_Polar_16_MS2_DF_5_01","GNPSGROUP:L_C18_Polar_16_MS2_DF_5_02","GNPSGROUP:L_C18_Polar_16_MS2_DF_5_03","GNPSGROUP:L_C18_Polar_16_MS2_DF_625_01","GNPSGROUP:L_C18_Polar_16_MS2_DF_625_02","GNPSGROUP:L_C18_Polar_16_MS2_DF_625_03","GNPSGROUP:SAMPLES","GNPSLibraryURL","GNPSLinkout_Cluster","GNPSLinkout_Network","INCHI","Instrument","Ion_Source","IonMode","Library_Class","MassDiff","MQScore","MZErrorPPM","name","number of spectra","parent mass","PI","precursor mass","RTConsensus","RTMean","selected","shared name","SharedPeaks","Smiles","SpectrumID","sum(precursor intensity)","UniqueFileSources"
"62",,"N/A","SAMPLES,BLANKS","125,25,1,0","L_C18_Polar_16_Blk_no_inj_02,L_C18_Polar_16_MS2_DF_25_03,L_C18_Polar_16_MS2_DF_5_02,L_C18_Polar_16_MS2_DF_5_01,L_C18_Polar_16_MS2_DF_25_02,L_C18_Polar_16_MS2_DF_5_03,L_C18_Polar_16_MS2_DF_1_01,L_C18_Polar_16_MS2_DF_1_03,L_C18_Polar_16_MS2_DF_1_02","0","369","238",,,,"N/A","0.0","0.0","0.0","0.0","0.0","0.0","3890320.0","1.594616E7","1.188219E7","1.201402E7","0.0","0.0","3890320.0","3890320.0","0.0","0.0","0.0","0.0","0.0","0.0","4373270.0","5508030.0","6064860.0","0.0","1.01355E7","1878520.0","2733010.0","4103140.0","5046040.0","0.0","0.0","0.0","3.984237E7",,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=2c48a477ec094123987cdf90db4be8e4&view=view_all_clusters_withID#{""main.cluster index_lowerinput"":""369"",""main.cluster index_upperinput"":""369""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=238&task=2c48a477ec094123987cdf90db4be8e4",,,,,,,,,"369","9","191.0763",,"191.0763","17.4057","0.0","false","369",,,,"4.373269E7","N/A"
"63",,"N/A","SAMPLES,BLANKS","125,25,1,0","L_C18_Polar_16_Blk_no_inj_02,L_C18_Polar_16_MS2_DF_5_02,L_C18_Polar_16_MS2_DF_25_02,L_C18_Polar_16_MS2_DF_5_03,L_C18_Polar_16_MS2_DF_1_01,L_C18_Polar_16_MS2_DF_1_03,L_C18_Polar_16_MS2_DF_1_02","0","569","140",,,,"N/A","0.0","0.0","0.0","0.0","0.0","0.0","6106080.0","1.083234E7","1.348461E7","2463660.0","0.0","0.0","6106080.0","6106080.0","0.0","0.0","0.0","0.0","0.0","0.0","4698100.0","3036040.0","3098200.0","0.0","2463660.0","0.0","0.0","6297210.0","7187400.0","0.0","0.0","0.0","2.678061E7",,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=2c48a477ec094123987cdf90db4be8e4&view=view_all_clusters_withID#{""main.cluster index_lowerinput"":""569"",""main.cluster index_upperinput"":""569""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=140&task=2c48a477ec094123987cdf90db4be8e4",,,,,,,,,"569","7","291.6461",,"291.6461","453.8066","0.0","false","569",,,,"3.288669E7","N/A"
"64",,"N/A","SAMPLES,BLANKS","125,25,1,0","L_C18_Polar_16_Blk_no_inj_02,L_C18_Polar_16_MS2_DF_5_02,L_C18_Polar_16_MS2_DF_25_02,L_C18_Polar_16_MS2_DF_5_03,L_C18_Polar_16_MS2_DF_1_01,L_C18_Polar_16_MS2_DF_1_03,L_C18_Polar_16_MS2_DF_25_01,L_C18_Polar_16_MS2_DF_1_02","0","467","19",,,,"N/A","0.0","0.0","0.0","0.0","0.0","0.0","7974260.0","5.719166E7","1.05633E7","3.5652348E7","0.0","0.0","7974260.0","7974260.0","0.0","0.0","0.0","0.0","0.0","0.0","1.39227E7","9474460.0","3.37945E7","534548.0","3.51178E7","0.0","0.0","5065600.0","5497700.0","0.0","0.0","0.0","1.03407308E8",,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=2c48a477ec094123987cdf90db4be8e4&view=view_all_clusters_withID#{""main.cluster index_lowerinput"":""467"",""main.cluster index_upperinput"":""467""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=19&task=2c48a477ec094123987cdf90db4be8e4",,,,,,,,,"467","8","543.3356",,"543.3356","448.7597","0.0","false","467",,,,"1.11381568E8","N/A"
"65",,"N/A","SAMPLES,BLANKS","625,5,125,25,1,0","L_C18_Polar_16_Blk_no_inj_02,L_C18_Polar_16_MS2_DF_25_03,L_C18_Polar_16_MS2_DF_5_02,L_C18_Polar_16_MS2_DF_125_01,L_C18_Polar_16_MS2_DF_5_01,L_C18_Polar_16_MS2_DF_25_02,L_C18_Polar_16_MS2_DF_5_03,L_C18_Polar_16_MS2_DF_125_03,L_C18_Polar_16_MS2_DF_1_01,L_C18_Polar_16_MS2_DF_1_03,L_C18_Polar_16_MS2_DF_25_01,L_C18_Polar_16_MS2_DF_625_02,L_C18_Polar_16_MS2_DF_125_02,L_C18_Polar_16_MS2_DF_1_02","0","210","22",,,,"N/A","0.0","0.0","0.0","0.0","0.0","0.0","2.78692E7","3.49435E7","3.57444E7","3.784342E7","7930810.0","9002110.0","2.78692E7","2.78692E7","0.0","0.0","0.0","3053700.0","3534420.0","1342690.0","1.12092E7","1.1552E7","1.21823E7","8543320.0","1.86137E7","1.06864E7","1.16978E7","1.16833E7","1.23633E7","0.0","9002110.0","0.0","1.2546424E8",,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=2c48a477ec094123987cdf90db4be8e4&view=view_all_clusters_withID#{""main.cluster index_lowerinput"":""210"",""main.cluster index_upperinput"":""210""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=22&task=2c48a477ec094123987cdf90db4be8e4",,,,,,,,,"210","14","628.194",,"628.194","604.6746","0.0","false","210",,,,"1.5333344E8","N/A"
"66",,"N/A","SAMPLES,BLANKS","625,5,125,25,1,0","L_C18_Polar_16_Blk_no_inj_02,L_C18_Polar_16_Blk_no_inj_06,L_C18_Polar_16_Blk_no_inj_08,L_C18_Polar_16_MS2_DF_25_03,L_C18_Polar_16_Blk_no_inj_04,L_C18_Polar_16_MS2_DF_5_02,L_C18_Polar_16_MS2_DF_125_01,L_C18_Polar_16_MS2_DF_5_01,L_C18_Polar_16_MS2_DF_25_02,L_C18_Polar_16_MS2_DF_5_03,L_C18_Polar_16_MS2_DF_125_03,L_C18_Polar_16_MS2_DF_625_01,L_C18_Polar_16_MS2_DF_625_03,L_C18_Polar_16_MS2_DF_1_01,L_C18_Polar_16_MS2_DF_1_03,L_C18_Polar_16_MS2_DF_25_01,L_C18_Polar_16_MS2_DF_125_02,L_C18_Polar_16_MS2_DF_1_02","0","78","49",,,,"N/A","0.0","0.0","0.0","0.0","0.0","0.0","8.59227E7","6.39667E7","6.64412E7","6.93999E7","6.66089E7","4.51622E7","8.59227E7","2.57481E7","1.93922E7","1.7977E7","2.28054E7","2.31688E7","2.06801E7","2.276E7","2.22159E7","2.1834E7","1.99168E7","2.36009E7","2.16189E7","2.41801E7","2.21561E7","2.1976E7","2.23091E7","1.95646E7","0.0","2.55976E7","3.115789E8",,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=2c48a477ec094123987cdf90db4be8e4&view=view_all_clusters_withID#{""main.cluster index_lowerinput"":""78"",""main.cluster index_upperinput"":""78""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=49&task=2c48a477ec094123987cdf90db4be8e4",,,,,,,,,"78","18","260.9237",,"260.9237","800.4104","0.0","false","78",,,,"3.975016E8","N/A"
"67",,"N/A","SAMPLES","25,1","L_C18_Polar_16_MS2_DF_25_02,L_C18_Polar_16_MS2_DF_1_01,L_C18_Polar_16_MS2_DF_1_03,L_C18_Polar_16_MS2_DF_1_02","0","936","97",,,,"N/A","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.040608E7","0.0","8190240.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4649080.0","2643590.0","3113410.0","0.0","8190240.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.859632E7",,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=2c48a477ec094123987cdf90db4be8e4&view=view_all_clusters_withID#{""main.cluster index_lowerinput"":""936"",""main.cluster index_upperinput"":""936""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=97&task=2c48a477ec094123987cdf90db4be8e4",,,,,,,,,"936","4","1109.307",,"1109.307","370.1335","0.0","false","936",,,,"1.859632E7","N/A"
"68",,"N/A","SAMPLES,BLANKS","125,1,0","L_C18_Polar_16_Blk_no_inj_02,L_C18_Polar_16_MS2_DF_5_02,L_C18_Polar_16_MS2_DF_5_03,L_C18_Polar_16_MS2_DF_1_01","0","320","-1",,,,"N/A","0.0","0.0","0.0","0.0","0.0","0.0","1.37325E7","4208870.0","2.83562E7","0.0","0.0","0.0","1.37325E7","1.37325E7","0.0","0.0","0.0","0.0","0.0","0.0","4208870.0","0.0","0.0","0.0","0.0","0.0","0.0","1.15543E7","1.68019E7","0.0","0.0","0.0","3.256507E7",,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=2c48a477ec094123987cdf90db4be8e4&view=view_all_clusters_withID#{""main.cluster index_lowerinput"":""320"",""main.cluster index_upperinput"":""320""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=2c48a477ec094123987cdf90db4be8e4&view=view_all_clusters_withID#{""main.cluster index_lowerinput"":""320"",""main.cluster index_upperinput"":""320""}",,,,,,,,,"320","4","352.8972",,"352.8972","21.6711","0.0","false","320",,,,"4.629757E7","N/A"
"69",,"N/A","SAMPLES","5,25,1","L_C18_Polar_16_MS2_DF_25_03,L_C18_Polar_16_MS2_DF_1_01,L_C18_Polar_16_MS2_DF_125_02","0","1378","160",,,,"N/A","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1986500.0","0.0","2083200.0","1889790.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1889790.0","0.0","1986500.0","0.0","0.0","0.0","0.0","2083200.0","0.0","0.0","0.0","0.0","0.0","0.0","5959490.0",,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=2c48a477ec094123987cdf90db4be8e4&view=view_all_clusters_withID#{""main.cluster index_lowerinput"":""1378"",""main.cluster index_upperinput"":""1378""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=160&task=2c48a477ec094123987cdf90db4be8e4",,,,,,,,,"1378","3","169.1332",,"169.1332","758.026","0.0","false","1378",,,,"5959490.0","N/A"
"70",,"N/A","SAMPLES,BLANKS","625,5,125,25,1,0","L_C18_Polar_16_Blk_no_inj_02,L_C18_Polar_16_Blk_no_inj_06,L_C18_Polar_16_Blk_no_inj_08,L_C18_Polar_16_MS2_DF_25_03,L_C18_Polar_16_Blk_no_inj_04,L_C18_Polar_16_MS2_DF_5_02,L_C18_Polar_16_MS2_DF_125_01,L_C18_Polar_16_MS2_DF_5_01,L_C18_Polar_16_MS2_DF_25_02,L_C18_Polar_16_MS2_DF_5_03,L_C18_Polar_16_MS2_DF_125_03,L_C18_Polar_16_MS2_DF_625_01,L_C18_Polar_16_MS2_DF_625_03,L_C18_Polar_16_MS2_DF_1_01,L_C18_Polar_16_MS2_DF_1_03,L_C18_Polar_16_MS2_DF_25_01,L_C18_Polar_16_MS2_DF_625_02,L_C18_Polar_16_MS2_DF_125_02,L_C18_Polar_16_MS2_DF_1_02","0","3","23",,,,"N/A","0.0","0.0","0.0","0.0","0.0","0.0","1.679082E7","1.948348E8","1.13661866E8","2.87461838E8","2.0875166E8","1.2643814E8","1.679082E7","2978810.0","5203620.0","5107350.0","3501040.0","1.33646E7","1.85644E8","9743060.0","5.5016E7","1.51938E7","1.24625E8","1.73087008E8","1.11401E8","2973830.0","2982670.0","8.6508096E7","2.41711E7","3519540.0","2.42944E7","9.86242E7","9.31148304E8",,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=2c48a477ec094123987cdf90db4be8e4&view=view_all_clusters_withID#{""main.cluster index_lowerinput"":""3"",""main.cluster index_upperinput"":""3""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=23&task=2c48a477ec094123987cdf90db4be8e4",,,,,,,,,"3","19","111.0626",,"111.0626","757.9597","0.0","false","3",,,,"9.47939124E8","N/A"
"71",,"N/A","SAMPLES,BLANKS","125,25,1,0","L_C18_Polar_16_Blk_no_inj_02,L_C18_Polar_16_MS2_DF_5_02,L_C18_Polar_16_MS2_DF_25_02,L_C18_Polar_16_MS2_DF_5_03,L_C18_Polar_16_MS2_DF_1_01,L_C18_Polar_16_MS2_DF_1_03","0","739","-1",,,,"N/A","0.0","0.0","0.0","0.0","0.0","0.0","4620180.0","2.561301E7","1.059018E7","1.19311E7","0.0","0.0","4620180.0","4620180.0","0.0","0.0","0.0","0.0","0.0","0.0","8792410.0","0.0","1.68206E7","0.0","1.19311E7","0.0","0.0","6182020.0","4408160.0","0.0","0.0","0.0","4.813429E7",,"https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=2c48a477ec094123987cdf90db4be8e4&view=view_all_clusters_withID#{""main.cluster index_lowerinput"":""739"",""main.cluster index_upperinput"":""739""}","https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=2c48a477ec094123987cdf90db4be8e4&view=view_all_clusters_withID#{""main.cluster index_lowerinput"":""739"",""main.cluster index_upperinput"":""739""}",,,,,,,,,"739","6","296.1451",,"296.1451","444.0985","0.0","false","739",,,,"5.275447E7","N/A"
