CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
112	861	1	0.9388	-71.027
11	1417	1	0.8139	-21.890
44	665	1	0.8507	-26.015
112	1417	1	0.9506	-96.000
653	1457	1	0.8419	-27.983
184	1242	1	0.8944	-459.214
41	653	1	0.849	-213.113
200	753	1	0.8381	-34.020
44	981	1	0.8621	-18.909
753	1133	1	0.8674	18.033
382	490	1	0.8563	-181.074
34	665	1	0.8323	46.042
5	19	1	0.8703	148.041
598	719	1	0.886	-340.954
184	1111	1	0.8606	-73.019
653	763	1	0.8956	83.037
311	1045	1	0.9928	-0.422
447	1366	1	0.9985	198.001
653	664	1	0.8733	193.183
445	861	1	0.9344	428.234
11	875	1	0.8152	-254.092
267	438	1	0.9807	-278.084
126	1045	1	0.983	-262.189
653	909	1	0.9548	40.079
69	146	1	0.8383	0.000
19	1133	1	0.8715	-15.997
126	311	1	0.9937	-261.766
41	427	1	0.8524	44.026
126	1415	1	0.8744	16.031
200	267	1	0.8249	-83.967
34	653	1	0.8561	-157.051
126	519	1	0.9041	-113.084
706	1494	1	0.9502	-0.058
184	382	1	0.7865	-15.995
267	603	1	0.8316	21.979
719	1125	1	0.9111	225.036
956	981	1	0.8397	21.906
19	267	1	0.8822	-83.977
131	861	1	0.8325	115.207
21	1350	1	0.8535	57.998
44	427	1	0.8968	28.031
966	1500	1	0.9432	386.029
131	774	1	0.8267	-43.967
966	1494	1	0.9238	386.029
100	267	1	0.8905	32.000
11	69	1	0.8611	-70.077
707	1417	1	0.9801	238.883
34	131	1	0.9723	-28.032
19	598	1	0.902	-8.950
414	966	1	0.9229	-386.125
100	112	1	0.8735	188.970
519	1045	1	0.8972	-149.105
414	1500	1	0.9585	-0.096
112	598	1	0.9068	-81.943
21	48	1	0.9429	-324.852
21	1494	1	0.8185	-32.013
19	603	1	0.8448	-61.998
260	404	1	0.8158	14.016
1113	1125	1	0.8996	456.872
427	1133	1	0.7842	-30.876
511	598	1	0.8141	82.080
414	706	1	0.9646	-0.039
100	186	1	0.9438	-310.064
112	267	1	0.898	-156.970
404	861	1	0.8298	-34.057
19	653	1	0.9195	-242.260
1494	1500	1	0.9459	0.000
100	287	1	0.8715	65.914
41	69	1	0.9238	-42.046
136	1350	1	0.9897	206.186
719	1113	1	0.8764	-231.835
83	414	1	0.9843	0.097
11	131	1	0.8993	-112.125
34	69	1	0.9274	14.016
112	653	1	0.9321	-315.253
48	212	1	0.9695	-0.057
83	706	1	0.9768	0.058
131	690	1	0.8577	25.180
260	387	1	0.8576	14.016
83	1500	1	0.9676	0.001
69	563	1	0.8904	-28.032
11	981	1	0.8004	-30.946
11	34	1	0.919	-84.093
44	653	1	0.869	-229.108
21	1500	1	0.8205	-32.012
909	1095	1	0.9212	-44.026
44	1034	1	0.8748	-28.031
34	44	1	0.8816	72.057
21	83	1	0.812	-32.013
34	981	1	0.8537	53.147
19	200	1	0.8519	-0.010
173	1111	1	0.9909	-119.027
311	519	1	0.8898	148.683
112	1133	1	0.9	-88.990
706	966	1	0.9476	-386.087
11	861	1	0.7929	3.082
184	1415	1	0.8557	50.016
41	665	1	0.8507	-10.020
83	1494	1	0.9315	0.001
41	131	1	0.9574	-84.094
112	1350	1	0.8978	39.995
41	44	1	0.8791	15.995
69	131	1	0.9153	-42.047
173	861	1	0.8194	-95.051
44	861	1	0.8527	15.118
279	861	1	0.7843	58.037
173	184	1	0.8698	-46.008
1350	1366	1	0.8873	4.031
34	41	1	0.9838	56.062
519	1158	1	0.7851	14.015
34	690	1	0.8654	-2.852
348	1415	1	0.9363	281.206
19	112	1	0.913	72.993
21	212	1	0.9454	-324.909
200	956	1	0.7881	-53.958
41	146	1	0.8425	-42.046
414	1494	1	0.9177	-0.096
126	184	1	0.9026	-33.984
956	969	1	0.8625	-14.016
69	665	1	0.8309	32.026
83	966	1	0.9342	-386.029
112	981	1	0.9439	-105.055
11	41	1	0.9315	-28.031
1113	1470	1	0.8862	334.768
44	131	1	0.8599	-100.088
653	1095	1	0.9243	-3.948
706	1500	1	0.9781	-0.057
8	246	2	0.9944	-0.051
246	276	2	0.8469	-2.992
8	276	2	0.8322	-3.043
8	143	2	0.7272	2.967
143	246	2	0.7868	-3.018
575	1159	3	0.9454	-42.046
504	1155	3	0.955	495.331
506	1237	3	0.8629	30.017
667	722	3	0.9671	-2.016
988	1141	3	0.8234	3.896
646	1297	3	0.8734	-10.951
667	788	3	0.9826	19.968
434	767	3	0.9349	-495.328
265	755	3	0.9397	21.982
355	636	3	0.9836	-0.020
265	667	3	0.9731	-52.032
628	1153	3	0.909	-26.015
265	652	3	0.8764	-497.349
543	714	3	0.9182	-495.343
566	620	3	0.8707	-475.337
714	963	3	0.9516	-495.510
754	799	3	0.8215	-54.987
988	1092	3	0.8493	7.928
1005	1147	3	0.8737	15.997
356	442	3	0.9773	2.015
522	937	3	0.8817	-62.520
611	1155	3	0.8081	102.075
1040	1092	3	0.8281	-32.064
442	1513	3	0.8788	40.032
720	754	3	0.8541	424.389
522	1039	3	0.8715	-483.833
714	937	3	0.8416	465.285
1039	1153	3	0.8994	469.310
726	851	3	0.8516	79.874
1094	1118	3	0.9213	42.044
652	667	3	0.8929	445.317
356	871	3	0.8977	15.995
566	652	3	0.8853	-467.347
1297	1452	3	0.878	52.998
720	1003	3	0.9125	-494.270
652	788	3	0.8886	465.285
575	959	3	0.9106	-74.016
959	1159	3	0.9277	31.969
1297	1512	3	0.8071	-11.030
722	1259	3	0.9591	19.969
1040	1175	3	0.9087	-5.981
497	1005	3	0.9188	68.006
566	755	3	0.8617	51.984
628	1181	3	0.9776	42.048
726	1130	3	0.9537	-1.008
506	1159	3	0.9315	57.985
988	1060	3	0.8848	35.960
722	755	3	0.9379	76.031
715	1159	3	0.8117	38.016
265	722	3	0.9596	-54.048
1007	1060	3	0.874	35.993
1159	1237	3	0.8438	-27.968
434	963	3	0.991	-0.179
1086	1153	3	0.8857	-15.995
646	1092	3	0.8244	-24.000
355	613	3	0.8462	-26.048
506	1513	3	0.8074	86.016
506	959	3	0.9673	26.016
356	506	3	0.9353	-43.969
566	722	3	0.8903	-24.047
