row ID,row m/z,row retention time,L_C18_Polar_16_MS2_DF_1_01.mzML Peak area,L_C18_Polar_16_MS2_DF_1_02.mzML Peak area,L_C18_Polar_16_MS2_DF_1_03.mzML Peak area,L_C18_Polar_16_MS2_DF_25_02.mzML Peak area,L_C18_Polar_16_MS2_DF_25_01.mzML Peak area,L_C18_Polar_16_MS2_DF_25_03.mzML Peak area,L_C18_Polar_16_MS2_DF_5_01.mzML Peak area,L_C18_Polar_16_MS2_DF_5_02.mzML Peak area,L_C18_Polar_16_MS2_DF_5_03.mzML Peak area,L_C18_Polar_16_Blk_no_inj_02.mzML Peak area,L_C18_Polar_16_Blk_no_inj_04.mzML Peak area,L_C18_Polar_16_Blk_no_inj_06.mzML Peak area,L_C18_Polar_16_Blk_no_inj_08.mzML Peak area,L_C18_Polar_16_MS2_DF_625_01.mzML Peak area,L_C18_Polar_16_MS2_DF_625_02.mzML Peak area,L_C18_Polar_16_MS2_DF_625_03.mzML Peak area,L_C18_Polar_16_MS2_DF_125_03.mzML Peak area,L_C18_Polar_16_MS2_DF_125_02.mzML Peak area,L_C18_Polar_16_MS2_DF_125_01.mzML Peak area
1,337.124478261386,427.338769115655,7292620,29587400.0,40525600.0,18725700.0,4212830.0,3462220.0,3166860.0,3454030.0,3783630.0,2805800.0,1835730.0,1706170.0,2494840.0,2103780.0,3350590.0,3697290.0,3585260.0,3205550.0,3455400.0
2,311.079770869115,299.069293203371,159566000,178924000.0,224320000.0,239404000.0,167015008.0,186722000.0,186860992.0,179602000.0,201344992.0,208731008.0,6905950.0,8024260.0,9340820.0,10426700.0,213374000.0,211431008.0,213014000.0,216388992.0,177771008.0
3,111.062575664396,757.959667729298,55016000,15193800.0,124625000.0,111401000.0,173087008.0,2973830.0,2982670.0,86508096.0,24171100.0,2978810.0,5203620.0,5107350.0,3501040.0,3519540.0,24294400.0,98624200.0,9743060.0,185644000.0,13364600.0
4,141.978866928143,776.1577700889751,33916500,21741700.0,22063900.0,29723500.0,24369400.0,23893800.0,30090400.0,16866200.0,33717100.0,57952700.0,30602100.0,31279500.0,19636600.0,15451600.0,78497000.0,22258800.0,24231800.0,72278800.0,22226900.0
5,365.135661081727,480.84077738406,4601360,5286560.0,5400360.0,4177900.0,5558450.0,5422310.0,4615550.0,5305100.0,5706120.0,5503350.0,3214080.0,4550720.0,4274180.0,3855450.0,4594680.0,3166600.0,3345680.0,3945420.0,4675580.0
6,226.011858733627,721.390043879012,4380650,4283480.0,5157120.0,4864080.0,4658960.0,3774450.0,0.0,4263940.0,5953360.0,8413410.0,4041910.0,4133610.0,3004790.0,3187410.0,3911570.0,3967660.0,4550710.0,5631770.0,3739520.0
7,183.00819299135298,735.533658564899,7636140,2476000.0,2855450.0,3245930.0,3304730.0,3002600.0,5676340.0,2569530.0,3365010.0,6146070.0,4022310.0,4390360.0,2396350.0,2128500.0,80982400.0,2869040.0,3689930.0,5038920.0,2341320.0
8,138.096237543622,762.7460248353619,8542490,1398300.0,1507450.0,9179480.0,12803400.0,18683700.0,2627630.0,1611670.0,15475900.0,2819830.0,3308330.0,3545860.0,2158440.0,2462710.0,14208600.0,5170670.0,6291780.0,2074700.0,9535640.0
9,276.895811775533,9.409584802219038,361904,315950.0,314644.0,309125.0,309286.0,350779.0,295525.0,348132.0,351870.0,423965.0,268615.0,280124.0,423371.0,473672.0,451999.0,356002.0,323778.0,393557.0,382130.0
10,296.24205754169,357.520310326054,3251820,13695700.0,957902.0,17363200.0,1495890.0,1785460.0,2368050.0,1702120.0,1551560.0,2158720.0,1180220.0,1341550.0,1927310.0,2037920.0,2140860.0,1920550.0,2070930.0,2515600.0,1747580.0
